#CLUSTER   dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1dma1w     -211.47109003866944  -211.4323048725487   0.00013008608459073195
1dma1sa1w  -911.6160788160785   -911.563030684728    0.00017792430437846513
1dma1sa2w  -988.0268736415187   -987.9693176357735   0.00019304378918417358
1dma1sa3w  -1064.4347215793096  -1064.3717817804159  0.0002111011198850672
1dma1sa4w  -1140.8409788273775  -1140.7741046833569  0.00022429697810013959
1dma1sa5w  -1217.2491968886654  -1217.1763227218637  0.0002444211531169693
1dma2sa1w  -1611.7571858583622  -1611.69213759137    0.00021817295653924924
1dma2sa2w  -1688.1645654899683  -1688.0940190175204  0.00023661402799870216
2dma2sa1w  -1746.8484740262566  -1746.7724350941728  0.0002550358278841444
1dma2sa3w  -1764.5776183852836  -1764.5032237775706  0.00024952073692064065
2dma2sa2w  -1823.2570417120166  -1823.1753703589493  0.00027392706043060424
1dma2sa4w  -1840.9860309914595  -1840.907639992013   0.0002629247004745724
2dma2sa3w  -1899.6633812132138  -1899.577263320864   0.0002888408262613292
1dma2sa5w  -1917.3909248015514  -1917.3068141837325  0.00028210839449553074
2dma2sa4w  -1976.0744940763866  -1975.9856031860645  0.00029814150703356013
2dma2sa5w  -2052.4809130044846  -2052.3841074561483  0.0003246874000884567
1dma3sa1w  -2311.885585490448   -2311.8078643913072  0.00026067784384050985
1dma3sa2w  -2388.2971951951113  -2388.216838391268   0.00026951804072893835
2dma3sa1w  -2446.984799466521   -2446.8964775026566  0.00029623331834420226
1dma3sa3w  -2464.7066172829473  -2464.6208087384853  0.0002878032683617693
2dma3sa2w  -2523.39377908097    -2523.3024611434735  0.0003062818631445339
1dma3sa4w  -2541.1168031318143  -2541.025633860293   0.0003057832350197436
3dma3sa1w  -2582.079996452614   -2581.9811170236676  0.00033164322973803666
2dma3sa3w  -2599.8025161718765  -2599.7075350429946  0.000318568267254927
1dma3sa5w  -2617.524941412409   -2617.430212706407   0.0003177216367667404
3dma3sa2w  -2658.4960065777286  -2658.3940019794823  0.00034212509893054885
2dma3sa4w  -2676.216514665145   -2676.116814164415   0.0003343971179949731
3dma3sa3w  -2734.8951451657986  -2734.7884235929373  0.00035794590931206594
2dma3sa5w  -2752.6231249771677  -2752.517207515716   0.00035524890642850654
3dma3sa4w  -2811.3123260715233  -2811.2001463772717  0.0003762525381580474
