#CLUSTER      dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1glyt      -339.9057092636567   -339.8625442108756   0.00014477629643183654
1am1gly       -340.44983856889183  -340.40734224096246  0.00014253338228870666
1am1gly1p     -340.80791976774725  -340.7668483774052   0.00013775411820229476
1glyt1w       -359.789038370873    -359.74688947463557  0.00014136809068411875
1gly1w        -360.32130705162973  -360.28016659156475  0.0001379857791885807
1gly1p1w      -360.6728278857123   -360.63145573851     0.00013876286165485414
1glyt1sa      -982.9564247485189   -982.9079273035954   0.00016266122731336033
1gly1sa       -983.4323589077962   -983.3854966979156   0.00015717662210472226
1gly1p1sa     -983.7850260880372   -983.7317730389476   0.00017861160184308924
1am1glyt1sa   -1039.4169217832148  -1039.3625217580573  0.0001824585784264953
1am1gly1sa    -1039.9156121124704  -1039.8591927795512  0.00018923136984461798
1am1gly1p1sa  -1040.2765821103492  -1040.2183858270398  0.0001951912906575004
1glyt1sa1w    -1059.2976312227418  -1059.2419493113614  0.0001867580458843983
1gly1sa1w     -1059.7834745582293  -1059.7277110227908  0.00018703181431726137
1gly1p1sa1w   -1060.1344232848778  -1060.0745879358128  0.00020068874413968886
1glyt2sa      -1682.4425759067424  -1682.3819439789238  0.00020336048237004007
1gly2sa       -1682.9180621537032  -1682.8549466855122  0.00021169031759461575
1gly1p2sa     -1683.2493573653242  -1683.1836702890932  0.00022031553322413125
1am1glyt2sa   -1738.9040487993288  -1738.8354308750645  0.0002301456456973198
1am1gly2sa    -1739.3873126126855  -1739.3173062771684  0.00023480239985627756
1am1gly1p2sa  -1739.7469329438436  -1739.6760480879789  0.00023774897154121526
1glyt2sa1w    -1758.7789980401844  -1758.7092775333736  0.00023384372567686126
1gly2sa1w     -1759.2560757892727  -1759.1873536065507  0.00023049533027604295
1gly1p2sa1w   -1759.5966691521558  -1759.5258907524708  0.0002373919157640402
1glyt3sa      -2381.9273848056273  -2381.855875684024   0.0002398427690884502
1gly3sa       -2382.3764420447123  -2382.30171166773    0.00025064691256581364
1gly1p3sa     -2382.710303800369   -2382.631825442031   0.00026321770362989393
