#CLUSTER      dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1glyt      -340.3010725746458   -340.25790752186464  0.00014477629643183654
1am1gly       -340.8465378839608   -340.80404155603145  0.00014253338228870666
1am1gly1p     -341.21090392503623  -341.1698325346942   0.00013775411820229476
1glyt1w       -360.185919297117    -360.14377040087953  0.00014136809068411875
1gly1w        -360.71822040521783  -360.67707994515274  0.0001379857791885807
1gly1p1w      -361.07492707454037  -361.033554927338    0.00013876286165485414
1glyt1sa      -983.9534421125259   -983.9049446676024   0.00016266122731336033
1gly1sa       -984.4284147363732   -984.3815525264927   0.00015717662210472226
1gly1p1sa     -984.7817662818433   -984.7285132327537   0.00017861160184308924
1am1glyt1sa   -1040.4813906744148  -1040.426990649257   0.0001824585784264953
1am1gly1sa    -1040.9810066383554  -1040.9245873054363  0.00018923136984461798
1am1gly1p1sa  -1041.3459344284531  -1041.2877381451435  0.0001951912906575004
1glyt1sa1w    -1060.3639244241488  -1060.3082425127684  0.0001867580458843983
1gly1sa1w     -1060.8483774253855  -1060.7926138899468  0.00018703181431726137
1gly1p1sa1w   -1061.201719950423   -1061.1418846013578  0.00020068874413968886
1glyt2sa      -1684.1056666351253  -1684.0450347073067  0.00020336048237004007
1gly2sa       -1684.5819535916203  -1684.5188381234295  0.00021169031759461575
1gly1p2sa     -1684.912424419351   -1684.8467373431204  0.00022031553322413125
1am1glyt2sa   -1740.639861851773   -1740.5712439275085  0.0002301456456973198
1am1gly2sa    -1741.1221318233643  -1741.0521254878472  0.00023480239985627756
1am1gly1p2sa  -1741.4822842289568  -1741.4113993730919  0.00023774897154121526
1glyt2sa1w    -1760.5102743201612  -1760.4405538133506  0.00023384372567686126
1gly2sa1w     -1760.9901719542265  -1760.9214497715047  0.00023049533027604295
1gly1p2sa1w   -1761.3312316825736  -1761.2604532828886  0.0002373919157640402
1glyt3sa      -2384.2611571208254  -2384.1896479992215  0.0002398427690884502
1gly3sa       -2384.70689093099    -2384.632160554009   0.00025064691256581364
1gly1p3sa     -2385.0392061243997  -2384.9607277660625  0.00026321770362989393
