#CLUSTER      dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1sa        -755.9213160257535   -755.8802695001885   0.00013767072133167058
1sa1w         -775.7894244316285   -775.7487512649361   0.0001364184695365019
1am1homF      -815.1581222557895   -815.0957613546095   0.00020915948743880652
1dma1sa       -834.3364159144355   -834.2882423150111   0.00016157504418752336
1homF1w       -835.0308175696343   -834.9721734157813   0.0001966934558202371
1dma1homF     -893.5650724222796   -893.497857716015    0.00022543922946387812
1homF1sa      -1458.1529758368006  -1458.0882702051504  0.0002170237519718227
1am1homF1sa   -1514.6319403661812  -1514.5622520912978  0.0002337356192650792
2homF         -1517.3958082482209  -1517.3133221131438  0.00027665985268248593
1homF1sa1w    -1534.4958310555032  -1534.4268402028677  0.00023139645358103236
1dma1homF1sa  -1593.0527446190222  -1592.9779627612756  0.00025081957989768955
1homF2sa      -2157.6095504482228  -2157.53241485729    0.00025871403968653434
1am1homF2sa   -2214.0957017179076  -2214.0144089922446  0.00027265713789203063
2homF1sa      -2216.8566216924305  -2216.7634535086077  0.00031248761973116766
1homF2sa1w    -2233.9488309990275  -2233.867074209018   0.00027421361733863804
1am2homF1sa   -2273.333694450452   -2273.2361635053344  0.00032712039281441904
1dma1homF2sa  -2292.522773768078   -2292.4356808222637  0.00029211117160630307
2homF1sa1w    -2293.1958841424153  -2293.098043897669   0.00032815778885212943
1dma2homF1sa  -2351.757561418274   -2351.654318264113   0.00034627923582392317
2homF2sa      -2916.3137664967016  -2916.208830568132   0.00035195682900967536
1am2homF2sa   -2972.7930785444823  -2972.683215469774   0.0003684825581345961
2homF2sa1w    -2992.6495234601734  -2992.5407199830624  0.000364928650380016
1dma2homF2sa  -3051.2163588884096  -3051.100954548502   0.00038706805268323556
