#CLUSTER      dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1sa        -756.6575907027645   -756.6165441771994   0.00013767072133167058
1sa1w         -776.5252767360495   -776.4846035693572   0.0001364184695365019
1am1homF      -816.0699745584145   -816.0076136572346   0.00020915948743880652
1dma1sa       -835.2033206689237   -835.1551470694991   0.00016157504418752336
1homF1w       -835.9422041796322   -835.8835600257794   0.0001966934558202371
1dma1homF     -894.6070845509568   -894.5398698446921   0.00022543922946387812
2sa           -1400.238274526621   -1400.1888631795453  0.0001657264701510465
1am2sa        -1456.7951125061427  -1456.7413740052841  0.0001802398150551213
1homF1sa      -1459.6610100129487  -1459.5963043812983  0.0002170237519718227
2sa1w         -1476.6508446896264  -1476.5969935652522  0.0001806175561770077
1am1homF1sa   -1516.2138134305976  -1516.1441251557137  0.0002337356192650792
2homF         -1519.083151745764   -1519.0006656106868  0.00027665985268248593
1dma2sa       -1535.3457872042263  -1535.2857815114724  0.00020126007967095143
1homF1sa1w    -1536.074474074941   -1536.0054832223059  0.00023139645358103236
1dma1homF1sa  -1594.763601788367   -1594.6888199306204  0.00025081957989768955
3sa           -2100.36072698458    -2100.2985894998683  0.00020841014493299103
1homF2sa      -2159.7868880523442  -2159.709752461412   0.00025871403968653434
1am1homF2sa   -2216.3446786429145  -2216.263385917252   0.00027265713789203063
2homF1sa      -2219.2110084857354  -2219.1178403019126  0.00031248761973116766
1homF2sa1w    -2236.1964501133725  -2236.114693323363   0.00027421361733863804
1am2homF1sa   -2275.758623477257   -2275.6610925321393  0.00032712039281441904
1dma1homF2sa  -2294.9008824659386  -2294.8137895201244  0.00029211117160630307
2homF1sa1w    -2295.6212966810685  -2295.5234564363222  0.00032815778885212943
1dma2homF1sa  -2354.311822975464   -2354.2085798213034  0.00034627923582392317
2homF2sa      -2919.334791790434   -2919.2298558618645  0.00035195682900967536
1am2homF2sa   -2975.888060834916   -2975.778197760208   0.0003684825581345961
2homF2sa1w    -2995.7424491245524  -2995.6336456474414  0.000364928650380016
1dma2homF2sa  -3054.437476861438   -3054.3220725215306  0.00038706805268323556
