#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1ma1w     -171.998770242179    -171.96209376029347  0.00012301352301029756
1ma2w     -248.33178636263918  -248.28989075991248  0.00014051854008621887
1ma1sa1w  -871.4671438884461   -871.4177305779594   0.00016573305546429306
1ma1sa2w  -947.8100635420067   -947.7539557647717   0.00018818640695881435
2ma1sa1w  -967.1329465291674   -967.0747603005016   0.00019515756721666527
1ma1sa3w  -1024.14734789208    -1024.085659501109   0.00020690387714510024
2ma1sa2w  -1043.4751741175896  -1043.4108145219798  0.00021586314140435272
1ma2sa1w  -1570.9415209366455  -1570.8779231201627  0.00021330812169294841
1ma2sa2w  -1647.2786898533723  -1647.2102065009271  0.00022969428960236757
2ma2sa1w  -1666.6239080007526  -1666.5530926538731  0.0002375158372615552
1ma2sa3w  -1723.6161162443832  -1723.5449344324838  0.00023874496696046218
2ma2sa2w  -1742.9662083596713  -1742.8901681386706  0.0002550401509350867
2ma2sa3w  -1819.3025585266353  -1819.221885886038   0.000270577362391709
2ma2sa4w  -1895.6401801517436  -1895.5537067174441  0.00029003331980351254
