#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1ma1w     -172.20136961289296  -172.16469313100745  0.00012301352301029756
1ma2w     -248.60530736203918  -248.5634117593125   0.00014051854008621887
1ma1sa1w  -872.3408069032713   -872.2913935927846   0.00016573305546429306
1ma1sa2w  -948.7546966028655   -948.6985888256307   0.00018818640695881435
2ma1sa1w  -968.1416355575262   -968.0834493288605   0.00019515756721666527
1ma1sa3w  -1025.162878748912   -1025.101190357941   0.00020690387714510024
2ma1sa2w  -1044.5554539689206  -1044.491094373311   0.00021586314140435272
1ma2sa1w  -1572.4820964600437  -1572.418498643561   0.00021330812169294841
1ma2sa2w  -1648.889254254054   -1648.8207709016092  0.00022969428960236757
2ma2sa1w  -1668.302463651533   -1668.2316483046534  0.0002375158372615552
1ma2sa3w  -1725.301293360244   -1725.2301115483447  0.00023874496696046218
2ma2sa2w  -1744.7160149708916  -1744.6399747498904  0.0002550401509350867
2ma2sa3w  -1821.1236225208822  -1821.042949880285   0.000270577362391709
2ma2sa4w  -1897.5304903953097  -1897.4440169610102  0.00029003331980351254
