#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2ma       -191.31724659242477  -191.27699926991264  0.00013499018115750743
3ma       -286.97481944946554  -286.92420320727916  0.00016976770815441247
4ma       -382.630821541991    -382.5702780258741   0.00020306394806910753
1ma1sa    -795.1241540458428   -795.079670918865    0.00014919713894969542
2ma1sa    -890.7927452123367   -890.7397988221126   0.00017758306296842711
3ma1sa    -986.4598901883097   -986.3973641758174   0.00020971327349437837
4ma1sa    -1082.123043533776   -1082.0520272989486  0.0002381896187391658
2sa       -1398.906383296208   -1398.857180121863   0.0001650282553927671
1ma2sa    -1494.600030018986   -1494.5429399967368  0.00019148087287972125
2ma2sa    -1590.2786440398525  -1590.214870347612   0.0002138980118733646
3ma2sa    -1685.9477175424086  -1685.872064963969   0.0002537399914110172
4ma2sa    -1781.6179472842828  -1781.533833946608   0.0002821175169373518
3sa       -2098.360796394778   -2098.298748456393   0.00020810980508237774
1ma3sa    -2194.064391054863   -2193.994624489436   0.00023399820703175005
2ma3sa    -2289.753898796917   -2289.675815278683   0.00026189340343097626
3ma3sa    -2385.439702533199   -2385.354325977197   0.0002863543719661654
4ma3sa    -2481.116668327117   -2481.0247526275     0.0003082867671207287
4sa       -2797.8175441500134  -2797.7401751363304  0.0002594969434280288
1ma4sa    -2893.5197706639333  -2893.4375076970914  0.00027591134275261323
2ma4sa    -2989.2168072295453  -2989.1272197990393  0.00030047771425766994
3ma4sa    -3084.9074722527516  -3084.811537784611   0.0003217657827962835
4ma4sa    -3180.5990012128836  -3180.4939331400224  0.0003524000431376978
