#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2ma       -191.58342023788575  -191.54317291537365  0.00013499018115750743
3ma       -287.37646540098746  -287.3258491588012   0.00016976770815441247
4ma       -383.168006442932    -383.1074629268152   0.00020306394806910753
1ma1sa    -795.926620654882    -795.8821375279041   0.00014919713894969542
2ma1sa    -891.7299898836987   -891.6770434934747   0.00017758306296842711
3ma1sa    -987.5342499694357   -987.4717239569434   0.00020971327349437837
4ma1sa    -1083.331968438953   -1083.260952204126   0.0002381896187391658
2sa       -1400.2385296372881  -1400.1893264629427  0.0001650282553927671
1ma2sa    -1496.0694975508268  -1496.0124075285778  0.00019148087287972125
2ma2sa    -1591.8886095647142  -1591.824835872474   0.0002138980118733646
3ma2sa    -1687.6919102229542  -1687.616257644515   0.0002537399914110172
4ma2sa    -1783.4958926034878  -1783.411779265813   0.0002821175169373518
3sa       -2100.3591777200754  -2100.2971297816903  0.00020810980508237774
1ma3sa    -2196.2010348710874  -2196.131268305661   0.00023399820703175005
2ma3sa    -2292.0273743157304  -2291.9492907974973  0.00026189340343097626
3ma3sa    -2387.851779474244   -2387.766402918242   0.0002863543719661654
4ma3sa    -2483.6689963323406  -2483.5770806327237  0.0003082867671207287
4sa       -2800.4821356675207  -2800.4047666538377  0.0002594969434280288
1ma4sa    -2896.3230274151265  -2896.2407644482846  0.00027591134275261323
2ma4sa    -2992.158957897123   -2992.069370466617   0.00030047771425766994
3ma4sa    -3087.9862462953906  -3087.89031182725    0.0003217657827962835
4ma4sa    -3183.8170026808484  -3183.711934607987   0.0003524000431376978
