#CLUSTER   dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1sa1w      -776.5253424447736   -776.4847254024636   0.00013623022743593474
1sa2w      -852.9354363847245   -852.8892677981294   0.00015485019820607294
1sa3w      -929.3444079231119   -929.2925632081873   0.00017388802590870378
1mea1sa1w  -986.8230314119671   -986.7703664426101   0.00017663917275545203
2mea1sa2w  -1273.519935945739   -1273.4476581242104  0.00024242100126959192
2sa        -1400.2385311952685  -1400.1893264611506  0.00016503348689522336
2sa1w      -1476.6507748702224  -1476.5969736833263  0.00018045006505520886
2sa2w      -1553.062108204449   -1553.0024294027553  0.00020016368168302413
2sa3w      -1629.4743547828095  -1629.41115533617    0.00021197198269164052
1mea2sa1w  -1686.9590580820532  -1686.8898741356782  0.00023204409315786563
2mea2sa    -1820.8513652753547  -1820.778465876818   0.00024450578077013095
2mea2sa1w  -1897.2635169937514  -1897.1853704781852  0.00026210469752245156
3sa        -2100.3591775069413  -2100.297129781096   0.00020810909221941615
3mea3sa    -2731.3001087574567  -2731.207087879969   0.0003119935518616242
4sa        -2800.48213377626    -2800.4047666536294  0.00025949060080750853
2mea4sa    -3221.1247059403095  -3221.0297370976937  0.0003185270589161757
