# CLUSTER  dG
1dma1msa     -798.4094999692339
1dma1msa1sa  -1497.888739551595
1dma1msa2sa  -2197.3610571390423
1dma1sa      nan
1dma2msa     -1461.9639763799921
1dma2msa1sa  -2161.4355676235573
1dma2sa      -1533.815578237793
1dma3msa     -2125.506356819868
1dma3sa      -2233.2813584830105
1msa1sa      -1362.991382461351
1msa2sa      -2062.445605910954
2dma1msa1sa  -1632.779220407379
2dma1msa2sa  -2332.251422477594
2dma2msa     -1596.8567667809668
2dma2msa1sa  -2296.3321350181745
2dma2sa      -1668.705914149151
2dma3msa     -2260.399837316047
2dma3sa      -2368.1786377237277
2msa         -1327.0691087022872
2msa1sa      -2026.5283337628578
2sa          -1398.90794575133
3dma1msa2sa  -2467.149741341525
3msa         -1990.600029069335
3sa          -2098.3640859398333
