#CLUSTER     dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1dma1msa     -798.4087831735754   -798.3616528089925   0.0001580760173834358
2msa         -1327.0682153284718  -1327.0178434135003  0.00016894823066016795
1msa1sa      -1362.9910209666791  -1362.9421988373924  0.0001637502240028441
2sa          -1398.9063933119771  -1398.8571842070594  0.00016504814662904722
1dma2msa     -1461.9618902754949  -1461.8999720715021  0.00020767467379647454
1dma1msa1sa  -1497.887361320242   -1497.827788317741   0.00019980882945104812
1dma2sa      -1533.8133821819824  -1533.7531512038117  0.00020201569066134636
2dma2msa     -1596.8536616386284  -1596.7799194999568  0.00024733234503329556
2dma1msa1sa  -1632.77745125733    -1632.706601505704   0.00023763123134730956
2dma2sa      -1668.703529416475   -1668.6337412408523  0.00023407068798501598
3msa         -1990.5969918148194  -1990.5311898406212  0.00022070090289485385
2msa1sa      -2026.5250085116284  -2026.4610710298     0.00021444736484312353
1msa2sa      -2062.442464944024   -2062.3799653801084  0.00020962456453335477
3sa          -2098.360787940514   -2098.2987467203798  0.00020808727195668108
1dma3msa     -2125.5030852353407  -2125.4272044250542  0.00025450548477760454
1dma2msa1sa  -2161.432292787561   -2161.357629908952   0.00025042052191545406
1dma1msa2sa  -2197.358067811944   -2197.2856301440893  0.0002429571284751225
1dma3sa      -2233.277985825652   -2233.2054551116703  0.00024326920671250156
2dma3msa     -2260.3946386269313  -2260.306758400415   0.00029475172401811965
2dma2msa1sa  -2296.3266876203365  -2296.240029113584   0.00029065405585278805
2dma1msa2sa  -2332.2474597401224  -2332.163815547904   0.00028054399536728703
2dma3sa      -2368.1741217252693  -2368.0916487404147  0.00027661574661873094
3dma1msa2sa  -2467.1438916949514  -2467.0486123458736  0.00031956850269167735
