#CLUSTER     dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1dma1msa     -799.2787462043415   -799.2316158397585   0.0001580760173834358
2msa         -1328.4096126261845  -1328.3592407112133  0.00016894823066016795
1msa1sa      -1364.3282945053281  -1364.2794723760417  0.0001637502240028441
2sa          -1400.2385335606468  -1400.1893244557293  0.00016504814662904722
1dma2msa     -1463.5034328955026  -1463.44151469151    0.00020767467379647454
1dma1msa1sa  -1499.4256907686467  -1499.3661177661459  0.00019980882945104812
1dma2sa      -1535.3469579441894  -1535.2867269660187  0.00020201569066134636
2dma2msa     -1598.5937238576614  -1598.5199817189898  0.00024733234503329556
2dma1msa1sa  -1634.513661849951   -1634.4428120983248  0.00023763123134730956
2dma2sa      -1670.439012267324   -1670.3692240917012  0.00023407068798501598
3msa         -1992.6090447454844  -1992.5432427712863  0.00022070090289485385
2msa1sa      -2028.53236674877    -2028.4684292669422  0.00021444736484312353
1msa2sa      -2064.44525703307    -2064.3827574691545  0.00020962456453335477
3sa          -2100.3591720006807  -2100.297130780547   0.00020808727195668108
1dma3msa     -2127.7155104154726  -2127.639629605186   0.00025450548477760454
1dma2msa1sa  -2163.6410831640037  -2163.5664202853945  0.00025042052191545406
1dma1msa2sa  -2199.562969672902   -2199.490532005047   0.0002429571284751225
1dma3sa      -2235.4786033426417  -2235.4060726286602  0.00024326920671250156
2dma3msa     -2262.8063843108844  -2262.7185040843683  0.00029475172401811965
2dma2msa1sa  -2298.735440602162   -2298.6487820954094  0.00029065405585278805
2dma1msa2sa  -2334.6519782625282  -2334.5683340703094  0.00028054399536728703
2dma3sa      -2370.578460001542   -2370.4959870166876  0.00027661574661873094
3dma1msa2sa  -2469.749850353426   -2469.654571004349   0.00031956850269167735
