# CLUSTER  dG
1dma1sa1w   -910.6783614431179
1dma1sa2w   -987.0180220531969
1dma1sa3w   -1063.3488786558241
1dma1sa4w   -1139.68871398504
1dma1sa5w   -1216.0270981715278
1dma1sa6w   -1292.365179736923
1dma1sua    nan
1dma1sua1w  -667.471194441139
1dma1sua2w  -743.813381019102
1dma1sua3w  -820.1517902804528
1dma1sua4w  -896.48033980685
1dma1sua5w  -972.822375581523
1dma1sua6w  -1049.1595995951877
1dma1w      -211.20311861553802
1dma2w      -287.53924216792393
1dma3w      -363.87529739911906
1dma4w      -440.207627396752
1dma5w      -516.545705490233
1dma6w      -592.878393340184
1sa1w       -775.789892332103
1sa2w       -852.128584034196
1sa3w       -928.4629956472319
1sa4w       -1004.8046951079571
1sa5w       -1081.14071053768
1sa6w       -1157.477706867678
1sua1w      -532.6009307702229
1sua2w      -608.938133085986
1sua3w      -685.2732772829131
1sua4w      -761.613497419678
1sua5w      -837.9471375465961
1sua6w      -914.2865175748591
