#CLUSTER    dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1dma2w      -287.53826277515395  -287.49294506302226  0.00015199635127207642
1dma3w      -363.8739164949743   -363.82352023587987  0.0001690298812490147
1dma4w      -440.20594507400205  -440.15134738114074  0.00018312155915266583
1dma5w      -516.5423116202827   -516.480241466652    0.0002081843153808544
1sua1w      -532.6000522686047   -532.5527460990438   0.00015866567016945853
1dma6w      -592.8758416989253   -592.8110082373541   0.00021745249562718207
1sua2w      -608.9366751259302   -608.8845465587699   0.00017484007097177503
1dma1sua1w  -667.4693667893914   -667.4112731440212   0.00019484704132273047
1sua3w      -685.2725602918911   -685.2161101225788   0.0001893347956140888
1dma1sua2w  -743.8109955385901   -743.7472284067474   0.00021387600819368542
1sua4w      -761.6112854460653   -761.546970182063    0.0002157144524647745
1sa1w       -775.7895430637867   -775.7489267407051   0.00013622781513167914
1dma1sua3w  -820.1489033003006   -820.0803055055974   0.00023007813081813049
1sua5w      -837.9445558263873   -837.877880437337    0.00022363035066346923
1sa2w       -852.1274154535741   -852.0811201248881   0.0001552752932621783
1dma1sua4w  -896.4780006819597   -896.4070080995757   0.00023811028805605834
1dma1sa1w   -910.6767151929369   -910.6237924136954   0.00017750387134474966
1sua6w      -914.2838437836597   -914.2131421584002   0.0002371344130795329
1sa3w       -928.462316574752    -928.4128813274862   0.00016580663178173175
1dma1sua5w  -972.8200683913625   -972.7452255102918   0.0002510242531295469
1dma1sa2w   -987.0163370075614   -986.958235553668    0.00019487323123743426
1sa4w       -1004.8024607173595  -1004.7473336381347  0.0001848971297156604
1dma1sua6w  -1049.1565738804495  -1049.0761605494242  0.0002697076338255609
1dma1sa3w   -1063.3477899628783  -1063.285996130609   0.0002072575289943784
1sa5w       -1081.1377581707122  -1081.0769570080959  0.0002039280986623428
1dma1sa4w   -1139.6860782625295  -1139.6178152500825  0.00022895526562882325
1sa6w       -1157.474685284064   -1157.4093526433494  0.00021912675067660458
1dma1sa5w   -1216.0236548054406  -1215.950474047824   0.00024544946374727627
1dma1sa6w   -1292.360862504449   -1292.2830059498847  0.00026113216355664535
