#CLUSTER    dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1dma2w      -287.87653960723003  -287.8312218950983   0.00015199635127207642
1dma3w      -364.2840980958553   -364.23370183676093  0.0001690298812490147
1dma4w      -440.68728967725013  -440.63269198438877  0.00018312155915266583
1dma5w      -517.0943051300499   -517.0322349764191   0.0002081843153808544
1sua1w      -533.1907104983817   -533.1434043288207   0.00015866567016945853
1dma1sua    -591.8580713284792   -591.805410357456    0.00017662576227824497
1dma6w      -593.4994713587414   -593.4346378971702   0.00021745249562718207
1sua2w      -609.5981980399441   -609.5460694727839   0.00017484007097177503
1dma1sua1w  -668.2603833482525   -668.2022897028821   0.00019484704132273047
1sua3w      -686.0053450089781   -685.9488948396657   0.0001893347956140888
1dma1sua2w  -744.6736355194881   -744.6098683876452   0.00021387600819368542
1sua4w      -762.4152000263873   -762.3508847623849   0.0002157144524647745
1sa1w       -776.5253397316836   -776.4847234086021   0.00013622781513167914
1dma1sua3w  -821.0826880198478   -821.0140902251443   0.00023007813081813049
1sua5w      -838.8200312797912   -838.753355890741    0.00022363035066346923
1sa2w       -852.9345674193783   -852.8882720906921   0.0001552752932621783
1dma1sua4w  -897.4854848751096   -897.4144922927256   0.00023811028805605834
1dma1sa1w   -911.6154277498189   -911.5625049705775   0.00017750387134474966
1sua6w      -915.2318452088008   -915.1611435835412   0.0002371344130795329
1sa3w       -929.3423659275201   -929.2929306802544   0.00016580663178173175
1dma1sua5w  -973.8988358098394   -973.8239929287688   0.0002510242531295469
1dma1sa2w   -988.0260169543644   -987.967915500471    0.00019487323123743426
1sa4w       -1005.7545576094025  -1005.6994305301778  0.0001848971297156604
1dma1sua6w  -1050.3060072852613  -1050.2255939542363  0.0002697076338255609
1dma1sa3w   -1064.4297523070545  -1064.367958474785   0.0002072575289943784
1sa5w       -1082.1603766330322  -1082.099575470416   0.0002039280986623428
1dma1sa4w   -1140.8379262774897  -1140.7696632650425  0.00022895526562882325
1sa6w       -1158.5685324163858  -1158.5031997756716  0.00021912675067660458
1dma1sa5w   -1217.2465536339125  -1217.1733728762963  0.00024544946374727627
1dma1sa6w   -1293.654011767526   -1293.5761552129616  0.00026113216355664535
