#CLUSTER   dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1sa1tma1w  -949.8851227652264   -949.8297536163626   0.00018570903526306527
1sa1tma2w  -1026.2221019520953  -1026.16227585024    0.0002006577288454274
1sa1tma3w  -1102.5591562102857  -1102.4965657623823  0.00020992939092226944
1sa2tma1w  -1123.9684088364916  -1123.8993725541577  0.00023154882553733363
1sa2tma2w  -1200.304486778257   -1200.229993995075   0.00024985001905670486
2sa1tma1w  -1649.3549559562334  -1649.2879711988894  0.00022466797700485534
2sa1tma2w  -1725.6925689672464  -1725.622404136296   0.00023533399614505675
2sa1tma3w  -1802.0285190602215  -1801.953267462806   0.00025239509446777766
2sa2tma1w  -1823.450645961541   -1823.3715597296175  0.00026525652162876303
2sa2tma2w  -1899.7887248080688  -1899.700698965415   0.0002952401229361486
2sa2tma3w  -1976.1215523423723  -1976.0330353338597  0.00029688750129885905
