#CLUSTER   dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1sa1tma1w  -950.8845612370853   -950.8291920882217   0.00018570903526306527
1sa1tma2w  -1027.2929275279034  -1027.2331014260483  0.0002006577288454274
1sa1tma3w  -1103.7021696036586  -1103.6395791557552  0.00020992939092226944
1sa2tma1w  -1125.2319041022376  -1125.1628678199038  0.00023154882553733363
1sa2tma2w  -1201.6379208546407  -1201.563428071459   0.00024985001905670486
2sa1tma1w  -1651.0229424811025  -1650.9559577237585  0.00022466797700485534
2sa1tma2w  -1727.4337502329374  -1727.3635854019867  0.00023533399614505675
2sa1tma3w  -1803.8397608990804  -1803.7645093016647  0.00025239509446777766
2sa2tma1w  -1825.3796457128851  -1825.3005594809615  0.00026525652162876303
2sa2tma2w  -1901.789254979279   -1901.7012291366254  0.0002952401229361486
2sa2tma3w  -1978.1943845659903  -1978.105867557478   0.00029688750129885905
