# CLUSTER  dG
1b1sa1w  -1474.793202134809
1b1sa2w  -1551.129303050594
1b1sa3w  -1627.4660199413809
1b1sa4w  -1703.8055732869948
1b1sa5w  -1780.1441784663364
1b1w     -775.297602940847
1b2sa1w  -2174.2686087078946
1b2sa2w  -2250.611092326879
1b2sa3w  -2326.945068502999
1b2sa4w  -2403.275950920956
1b2sa5w  -2479.617146423292
1b2w     -851.6391880068841
1b3sa1w  -2873.734781749415
1b3sa2w  -2950.077410867984
1b3sa3w  -3026.4147053809997
1b3sa4w  -3102.746129267914
1b3sa5w  -3179.08105360188
1b3w     -927.9813008680788
1b4w     -1004.319420823668
1b5w     -1080.6579152733293
