#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1b1w      -776.033817098428    -775.9926787029444   0.0001379788545483923
1b2w      -852.4446458502838   -852.3988350834342   0.00015365006489906358
1b3w      -928.8565314183978   -928.805434668531    0.0001713793388122243
1b4w      -1005.2684161000453  -1005.2141275817182  0.0001820845826837322
1b5w      -1081.676642813942   -1081.6175989620294  0.00019803404968150962
1b1sa1w   -1476.1955376058627  -1476.1422857349944  0.0001786076500699166
1b1sa2w   -1552.6053515019728  -1552.5491775849193  0.00018840824099794276
1b1sa3w   -1629.0152613536186  -1628.9557731574905  0.0001995243874833208
1b1sa4w   -1705.422262211914   -1705.355435116876   0.00022413917503908922
1b1sa5w   -1781.8310052541353  -1781.760683926158   0.00023585888974487124
1b2sa1w   -2176.339858491486   -2176.275768019736   0.0002149604955566855
1b2sa2w   -2252.752021365983   -2252.683286840264   0.00023053672889225958
1b2sa3w   -2329.15667000413    -2329.0825722987197  0.0002485249217178584
1b2sa4w   -2405.559814776875   -2405.4815150186405  0.00026261867595104806
1b2sa5w   -2481.9742999629602  -2481.8937594614044  0.00027013416587583667
1b3sa1w   -2876.4753340522925  -2876.4015984513603  0.00024731041734761793
1b3sa2w   -2952.88595075507    -2952.8070545251326  0.00026461925184535654
1b3sa3w   -3029.2933667452025  -3029.2082059286713  0.00028563077823593234
1b3sa4w   -3105.697416684115   -3105.6087960375044  0.00029723510518419645
1b3sa5w   -3182.106240984783   -3182.014012092954   0.0003093372189472787
