# CLUSTER  dG
1sa1w  -775.7898840780921
1sa2w  -852.129198546335
1sa3w  -928.469133782681
1sa4w  -1004.80803976232
1sa5w  -1081.1408773916162
2sa1w  -1475.2490504593009
2sa2w  -1551.5910418867984
2sa3w  -1627.9296190702012
2sa4w  -1704.266354108586
2sa5w  -1780.6077829273588
3sa1w  -2174.7056622908785
3sa2w  -2251.045314013355
3sa3w  -2327.3899725157144
3sa4w  -2398.915732244055
3sa5w  -2480.0698576029554
4sa1w  -2874.1669598528765
4sa2w  -2950.5036483935423
4sa3w  -3026.849767674892
4sa4w  -3103.183205663878
4sa5w  -3179.5272263846746
