#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1sa1w     -775.7895365228657   -775.7489194805556   0.00013623022743593474
1sa2w     -852.1280759310597   -852.0819073444644   0.00015485019820607294
1sa3w     -928.4671867057928   -928.4153419908682   0.00017388802590870378
1sa4w     -1004.8053907106762  -1004.7486344388819  0.00019036146836959287
1sa5w     -1081.1379055016785  -1081.0769854230723  0.0002043269448471467
2sa1w     -1475.247271329523   -1475.1934701426273  0.00018045006505520886
2sa2w     -1551.5882460912471  -1551.5285672895534  0.00020016368168302413
2sa3w     -1627.9268448530106  -1627.8636454063708  0.00021197198269164052
2sa4w     -1704.2640778938955  -1704.1983894540601  0.00022032010677721457
2sa5w     -1780.6039262159713  -1780.5322851732406  0.0002402852347168139
3sa1w     -2174.7028751048238  -2174.637137521854   0.00022048493365587745
3sa2w     -2251.0417732751403  -2250.9723068173744  0.00023299164100612897
3sa3w     -2327.386025496512   -2327.3115236115973  0.00024988054641915755
3sa4w     -2398.909762348443   -2398.8297115718615  0.0002684916202657882
3sa5w     -2480.0630540146103  -2479.977796032217   0.00028595667413607864
4sa1w     -2874.1583454761635  -2874.0751931975715  0.00027889410897882874
4sa2w     -2950.499108631559   -2950.4186043250306  0.0002700127671582859
4sa3w     -3026.845106512749   -3026.75964563057    0.0002866372033484675
4sa4w     -3103.1763300411417  -3103.085429799556   0.00030488090419229563
4sa5w     -3179.5193159070986  -3179.42187773578    0.0003268092279680037
