#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1sa1w     -776.5253424447736   -776.4847254024636   0.00013623022743593474
1sa2w     -852.9354363847245   -852.8892677981294   0.00015485019820607294
1sa3w     -929.3444079231119   -929.2925632081873   0.00017388802590870378
1sa4w     -1005.7544579483563  -1005.6977016765619  0.00019036146836959287
1sa5w     -1082.1605471100625  -1082.0996270314563  0.0002043269448471467
2sa1w     -1476.6507748702224  -1476.5969736833263  0.00018045006505520886
2sa2w     -1553.062108204449   -1553.0024294027553  0.00020016368168302413
2sa3w     -1629.4743547828095  -1629.41115533617    0.00021197198269164052
2sa4w     -1705.8847187853096  -1705.819030345474   0.00022032010677721457
2sa5w     -1782.2957082886123  -1782.2240672458815  0.0002402852347168139
3sa1w     -2176.774139813945   -2176.7084022309755  0.00022048493365587745
3sa2w     -2253.187321261785   -2253.1178548040193  0.00023299164100612897
3sa3w     -2329.601436980798   -2329.5269350958833  0.00024988054641915755
3sa4w     -2406.012719104389   -2405.932668327807   0.0002684916202657882
3sa5w     -2482.4204294116544  -2482.3351714292608  0.00028595667413607864
4sa1w     -2876.893177623287   -2876.810025344695   0.00027889410897882874
4sa2w     -2953.3102872380177  -2953.2297829314894  0.0002700127671582859
4sa3w     -3029.727634837857   -3029.6421739556786  0.0002866372033484675
4sa4w     -3106.133791377263   -3106.042891135678   0.00030488090419229563
4sa5w     -3182.545735522424   -3182.4482973511053  0.0003268092279680037
