# CLUSTER  dG
1am         -56.46350080964101
1am1sa1tma  -930.019014480046
1am2sa1tma  -1629.5023488980648
1am3sa1tma  -2328.979420461763
1am3sa2tma  -2503.088573223149
1am3sa3tma  -2677.2490615302004
1am4sa2tma  -3202.5699542774323
1am4sa3tma  -3376.6741764862677
1ma         -95.66388736832499
1ma1sa1tma  -969.218591275455
1ma2sa1tma  -1668.7116156336447
1ma2sa2tma  -1842.797878766676
1ma3sa1tma  -2368.2471110125207
1ma3sa2tma  -2542.291837078362
1ma3sa3tma  -2716.3884038658116
1ma4sa2tma  -3241.7738331146056
1ma4sa3tma  -3415.9653394902953
1sa         -699.448632678717
1tma        -174.079197840165
2am2sa1tma  -1686.013592476321
2am3sa1tma  -2385.512460998701
2am3sa2tma  -2559.6222091030404
2am4sa1tma  -3084.997888733571
2am4sa2tma  -3259.1271458120036
2ma2sa1tma  -1764.3824129348359
2ma3sa1tma  -2463.8746400179202
2ma3sa2tma  -2638.036950792371
2ma4sa1tma  -3163.4277926909926
2ma4sa2tma  -3337.536470890833
3am3sa1tma  -2441.9293613982964
3am4sa1tma  -3141.4195898926037
