#CLUSTER     dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
4dma         -540.2519820880173   -540.1799319228235   0.00024165743818142335
2msa         -1328.4096126940747  -1328.3592427067736  0.00016894176522259564
1dma1msa1sa  -1499.4305975155219  -1499.3701393378064  0.0002027777216684434
2dma1msa1sa  -1634.5217144287803  -1634.4502780149276  0.00023959890609665028
3dma1msa1sa  -1769.568074553393   -1769.485645455888   0.0002764685477273123
3msa         -1992.6138447543842  -1992.548296875496   0.00021984866304953303
1dma2msa1sa  -2163.6410451930246  -2163.566412322873   0.0002503198730556428
1dma1msa2sa  -2199.558692805871   -2199.4852107271736  0.0002464600996054136
2dma2msa1sa  -2298.7357019183337  -2298.6490524274345  0.0002906238165331761
2dma1msa2sa  -2334.657518701499   -2334.5715458323252  0.00028835441614648755
3dma2msa1sa  -2433.8288357825186  -2433.732017231011   0.0003247310129377701
3dma1msa2sa  -2469.7551080726553  -2469.6612186652087  0.0003149066156180208
4msa         -2656.8136298628156  -2656.735208990712   0.00026302489385720244
1dma3msa1sa  -2827.8447403976306  -2827.7556982496876  0.00029864882758028435
1dma2msa2sa  -2863.768203261821   -2863.681328443106   0.00029137956973006567
1dma1msa3sa  -2899.684741609223   -2899.599489424252   0.0002859372294834791
2dma3msa1sa  -2962.945015556893   -2962.8466325690283  0.0003299781581904822
2dma2msa2sa  -2998.8696711413622  -2998.7717540432477  0.0003284155563123968
2dma1msa3sa  -3034.793021349778   -3034.695637814416   0.00032662597807157944
3dma3msa1sa  -3098.044022695692   -3097.93566752266    0.00036342503113163623
3dma2msa2sa  -3133.96994441002    -3133.862729385708   0.0003596009535879079
3dma1msa3sa  -3169.896923232308   -3169.789711155894   0.0003595910662885028
4dma3msa1sa  -3233.1327947519476  -3233.0118500755834  0.0004056504322117725
4dma2msa2sa  -3269.0641119188085  -3268.945897059219   0.00039649458188695263
4dma1msa3sa  -3304.9830826796465  -3304.8639277033744  0.0003996477486902092
