#CLUSTER             ddG_298.15K_[Eh]       ddH_298.15K_[Eh]     ddS_298.15K_[Eh/K]
3sa4w                3005.0581492197234     2937.8808315126807   -225.31382762557874
4put                 18.779496615286916     -23.81574235414155   -142.86513154252313
4ma                  16.17700675604283      -14.323298074974446  -102.29852366606549
4dma                 14.430343373911455     -17.553505451243836  -107.27435460364816
4am                  14.203304654132808     -11.203709815017646  -85.21554408558615
3put                 14.089491398946848     -13.666259325749706  -93.09324408770689
1dma6w               13.953697538527194     -45.28629706229549   -198.69191548205742
1dma5w               11.109487220121082     -36.42710801537032   -159.43852166835217
3ma                  11.063933617057046     -8.542879680957412   -65.7615740334377
1dma4w               10.045168853946961     -28.74303454355686   -130.0962716669926
1sua5w               9.123304677719716      -42.521368749730755  -173.21708343966066
1dma1eda1fa1msa      9.081716956628952      -27.952839128789492  -124.21450976180643
3am                  8.787033385771792      -7.211612751780194   -53.659722077936266
1eda1fa1ma1msa       8.412470823444892      -27.485357423021924  -120.40190590815043
1eda1fa1msa1tma      8.38460049648711       -27.337816847633803  -119.8135748592726
1sua6w               8.354428882419597      -54.20115263311891   -209.81244848421
1dma1sua4w           7.9907018123194575     -46.80642236722633   -183.79045507188363
2tma                 7.672222323570168      -0.8041729097894859  -28.42996891988807
2put                 7.270944059244357      -7.14184773148736    -48.34074053555538
1sua3w               6.5318480468704365     -24.65441466565244   -104.59923767417877
1dma1sua6w           6.454654554196168      -69.30568836681778   -254.10143525511666
2ma                  6.2807916445308365     -2.647630287014181   -29.946073894213598
1dma3w               6.258763022633502      -21.72846927974024   -93.86963710375079
1eda1tma             6.196986993018072      -3.218489628561656   -31.579663329202674
1sua4w               6.116132884053513      -33.57214270334225   -133.11512858421958
1dma1tma             5.918167093579541      -3.548573277395917   -31.751602787227498
1eda1ma              5.781291669176426      -4.560424863950175   -34.686287214774126
2dma                 5.738159527536482      -4.062750352517469   -32.87241281254673
1ma1tma              5.703889400727348      -3.188342124747578   -29.824690677382605
1dma1eda             5.647310466025374      -5.2162312549044145  -36.43649747097375
1dma1ma              5.625544387454283      -2.952460869702918   -28.770770609379028
2eda                 5.523162335128291      -6.741372330056038   -41.135450831028265
1dma1sua5w           5.47752321587177       -60.34091037494363   -220.75610796919096
1am1ma               5.429244684179139      -1.59196568220068    -23.54925496012487
