# CLUSTER  dG
1am         -56.46350080964101
1am1p       -56.784969411567005
1b          -698.953115059932
1bda        -190.138164801598
1ca         -651.1346864187849
1diAAmda    -268.551977967212
1diABmda    -268.548856951841
1dma        -134.869316903071
1dma1p      -135.221992594672
1eda        -190.13840044972798
1fa         -189.50518065820398
1homF       -758.702597253062
1ma         -95.66368923086102
1mbtca      -762.239253876668
1mda        -229.343975532207
1mea        -210.01042947504496
1msa        -663.5297127439411
1nta        -280.5380133018151
1oa         -377.81909270089403
1pa         -651.1433951231139
1pda        -229.352333121593
1pha        -643.378629353601
1put        -268.56739201285995
1pz         nan
1sa         -699.448632678717
1sua        -456.26984807151695
1teAABBmda  -346.9635584203001
1triAABmda  -307.758342407038
1w          -76.33797480033202
