# CLUSTER  dG
10w                  nan
1a_4311eda1fa2msa    nan
1am                  -56.46350080964101
1am1aq               -132.798918135061
1am1aq1p1sa          -832.606955928436
1am1aq1sa            -832.260077123212
1am1aq2sa            -1531.7350679340764
1am1aq3sa            -2231.1941428218256
1am1b                -755.4141281882219
1am1b1sa             -1454.9142012163761
1am1b1sa1w           -1531.2540953727519
1am1b1sa2w           -1607.593498453302
1am1b1sa3w           -1683.9327733216612
1am1b1sa4w           -1760.275541895485
1am1b1sa5w           -1836.6116138343832
1am1b1w              -831.7567244592241
1am1b2sa             -2154.3998487384542
1am1b2sa1w           -2230.7432240894004
1am1b2sa2w           -2307.0827289077956
1am1b2sa3w           -2383.418920740758
1am1b2sa4w           -2459.7505441200174
1am1b2sa5w           -2536.0923088705704
1am1b2w              -908.1007689475539
1am1b3sa             -2853.8758137137615
1am1b3sa1w           -2930.2202794892673
1am1b3sa2w           -3006.5572800249333
1am1b3sa3w           -3082.8883295696933
1am1b3w              -984.44000405403
1am1b4sa             -3553.3435157909303
1am1b4w              -1060.779626798319
1am1b5sa             -4252.810358547452
1am1b5w              -1137.1136494753218
1am1b6sa             -4952.264654811787
1am1dma              -191.326290733605
1am1dma1eda3sa       nan
1am1dma1fa           -380.839128184377
1am1dma1fa1msa       nan
1am1dma1fa1msa1sa    -1743.887509553042
1am1dma1fa1sa        -1080.321576298871
1am1dma1fa2msa       -1707.958022417111
1am1dma1fa2sa        -1779.806873691354
1am1dma1ma3sa        nan
1am1dma1msa          -854.87308549519
1am1dma1msa1nta      -1135.4407377663938
1am1dma1msa1nta1sa   -1834.921889583925
1am1dma1msa1sa       -1554.366272007529
1am1dma1nta          -471.88195093416704
1am1dma1nta1sa       -1171.3640394848996
1am1dma1nta2sa       -1870.844358012099
1am1dma1p            -191.704844486776
1am1dma1p1sa         -891.1770688765669
1am1dma1p2sa         -1590.6483568111178
1am1dma1sa           -890.804576186889
1am1dma2fa           -570.349629306782
1am1dma2msa          nan
1am1dma2msa1nta      -1798.9962787467769
1am1dma2nta          -752.4382107221221
1am1dma2sa           -1590.288696191135
1am1dma3sa           -2289.7590551042895
1am1dma3sa1tma       nan
1am1dma4sa           -2989.2238057040345
1am1eda              -246.59414656112398
1am1eda1fa           -436.107518863371
1am1eda1fa1msa       -1099.6655364115315
1am1eda1fa1msa1sa    -1799.1501124881568
1am1eda1fa1sa        -1135.5895203599573
1am1eda1fa2msa       -1763.2224488427769
1am1eda1fa2sa        -1835.0730555018931
1am1eda1ma3sa        nan
1am1eda1msa          -910.1484389243601
1am1eda1msa1nta      -1190.70600937428
1am1eda1msa1nta1sa   -1890.184351884981
1am1eda1msa1sa       -1609.6347380251168
1am1eda1nta          -527.146526658914
1am1eda1nta1sa       -1226.6267121868414
1am1eda1nta2sa       -1926.1047204805845
1am1eda1sa           -946.0730200219252
1am1eda2fa           -625.6215639627321
1am1eda2msa          -1573.7089585108638
1am1eda2msa1nta      -1854.2595369945798
1am1eda2nta          -807.707719092745
1am1eda2sa           nan
1am1eda3sa1tma       nan
1am1fa               -245.970882785828
