system;max;temperature (K);am conc. (ppv);ma conc. (pptv);dma conc. (pptv);tma conc. (pptv);eda conc. (pptv);J (1/ml/s)
SA_5B;J4x4;278,15;10;1;1;1;1;3,02E+00
SA_5B;J4x4;278,15;10;1;1;1;10;8,15E+00
SA_5B;J4x4;278,15;10;1;1;10;1;2,47E+01
SA_5B;J4x4;278,15;10;1;1;10;10;3,68E+01
SA_5B;J4x4;278,15;10;1;10;1;1;4,89E+00
SA_5B;J4x4;278,15;10;1;10;1;10;1,04E+01
SA_5B;J4x4;278,15;10;1;10;10;1;3,19E+01
SA_5B;J4x4;278,15;10;1;10;10;10;3,86E+01
SA_5B;J4x4;278,15;10;100;1;1;1;5,25E+00
SA_5B;J4x4;278,15;10;100;1;1;10;8,31E+00
SA_5B;J4x4;278,15;10;100;1;10;1;3,04E+01
SA_5B;J4x4;278,15;10;100;1;10;10;3,72E+01
SA_5B;J4x4;278,15;10;100;10;1;1;8,78E+00
SA_5B;J4x4;278,15;10;100;10;1;10;1,14E+01
SA_5B;J4x4;278,15;10;100;10;10;1;3,78E+01
SA_5B;J4x4;278,15;10;100;10;10;10;4,02E+01
SA_5B;J4x4;278,15;10000;1;1;1;1;5,31E+00
SA_5B;J4x4;278,15;10000;1;1;1;10;8,48E+00
SA_5B;J4x4;278,15;10000;1;1;10;1;2,96E+01
SA_5B;J4x4;278,15;10000;1;1;10;10;3,72E+01
SA_5B;J4x4;278,15;10000;1;10;1;1;1,02E+01
SA_5B;J4x4;278,15;10000;1;10;1;10;1,23E+01
SA_5B;J4x4;278,15;10000;1;10;10;1;4,06E+01
SA_5B;J4x4;278,15;10000;1;10;10;10;4,15E+01
SA_5B;J4x4;278,15;10000;100;1;1;1;5,93E+00
SA_5B;J4x4;278,15;10000;100;1;1;10;8,70E+00
SA_5B;J4x4;278,15;10000;100;1;10;1;3,16E+01
SA_5B;J4x4;278,15;10000;100;1;10;10;3,75E+01
SA_5B;J4x4;278,15;10000;100;10;1;1;1,04E+01
SA_5B;J4x4;278,15;10000;100;10;1;10;1,24E+01
SA_5B;J4x4;278,15;10000;100;10;10;1;4,06E+01
SA_5B;J4x4;278,15;10000;100;10;10;10;4,15E+01
SA_5B;J4x4;298,15;10;1;1;1;1;9,43E-05
SA_5B;J4x4;298,15;10;1;1;1;10;2,23E-02
SA_5B;J4x4;298,15;10;1;1;10;1;1,47E-04
SA_5B;J4x4;298,15;10;1;1;10;10;3,09E-02
SA_5B;J4x4;298,15;10;1;10;1;1;2,97E-03
SA_5B;J4x4;298,15;10;1;10;1;10;4,80E-02
SA_5B;J4x4;298,15;10;1;10;10;1;1,08E-02
SA_5B;J4x4;298,15;10;1;10;10;10;9,39E-02
SA_5B;J4x4;298,15;10;100;1;1;1;3,64E-04
SA_5B;J4x4;298,15;10;100;1;1;10;2,56E-02
SA_5B;J4x4;298,15;10;100;1;10;1;5,33E-04
SA_5B;J4x4;298,15;10;100;1;10;10;3,51E-02
SA_5B;J4x4;298,15;10;100;10;1;1;1,69E-02
SA_5B;J4x4;298,15;10;100;10;1;10;6,40E-02
SA_5B;J4x4;298,15;10;100;10;10;1;3,81E-02
SA_5B;J4x4;298,15;10;100;10;10;10;1,24E-01
SA_5B;J4x4;298,15;10000;1;1;1;1;2,47E-04
SA_5B;J4x4;298,15;10000;1;1;1;10;2,46E-02
SA_5B;J4x4;298,15;10000;1;1;10;1;3,48E-04
SA_5B;J4x4;298,15;10000;1;1;10;10;3,37E-02
SA_5B;J4x4;298,15;10000;1;10;1;1;5,35E-02
SA_5B;J4x4;298,15;10000;1;10;1;10;9,70E-02
SA_5B;J4x4;298,15;10000;1;10;10;1;1,03E-01
SA_5B;J4x4;298,15;10000;1;10;10;10;1,80E-01
SA_5B;J4x4;298,15;10000;100;1;1;1;8,85E-04
SA_5B;J4x4;298,15;10000;100;1;1;10;2,71E-02
SA_5B;J4x4;298,15;10000;100;1;10;1;1,11E-03
SA_5B;J4x4;298,15;10000;100;1;10;10;3,67E-02
SA_5B;J4x4;298,15;10000;100;10;1;1;8,08E-02
SA_5B;J4x4;298,15;10000;100;10;1;10;1,23E-01
SA_5B;J4x4;298,15;10000;100;10;10;1;1,51E-01
SA_5B;J4x4;298,15;10000;100;10;10;10;2,25E-01
SA_4B;J4x4;278,15;10;1;1;1;0;1,2
SA_4B;J4x4;278,15;10;100;1;1;0;4,78
SA_4B;J4x4;278,15;10;1;10;1;0;4,49
SA_4B;J4x4;278,15;10;100;10;1;0;8,55
SA_4B;J4x4;278,15;10000;1;1;1;0;4,91
SA_4B;J4x4;278,15;10000;100;1;1;0;5,48
SA_4B;J4x4;278,15;10000;1;10;1;0;9,95
SA_4B;J4x4;278,15;10000;100;10;1;0;10,1
SA_4B;J4x4;278,15;10;1;1;10;0;20,1
SA_4B;J4x4;278,15;10;100;1;10;0;29
SA_4B;J4x4;278,15;10;1;10;10;0;31,5
SA_4B;J4x4;278,15;10;100;10;10;0;37,6
SA_4B;J4x4;278,15;10000;1;1;10;0;27,8
SA_4B;J4x4;278,15;10000;100;1;10;0;30,2
SA_4B;J4x4;278,15;10000;1;10;10;0;40,4
SA_4B;J4x4;278,15;10000;100;10;10;0;40,5
SA_4B;J4x4;278,15;10;1;1;0;1;0,31
SA_4B;J4x4;278,15;10;100;1;0;1;0,658
SA_4B;J4x4;278,15;10;1;10;0;1;1,84
SA_4B;J4x4;278,15;10;100;10;0;1;4,02
SA_4B;J4x4;278,15;10000;1;1;0;1;0,723
SA_4B;J4x4;278,15;10000;100;1;0;1;1,1
SA_4B;J4x4;278,15;10000;1;10;0;1;4,85
SA_4B;J4x4;278,15;10000;100;10;0;1;5,05
SA_4B;J4x4;278,15;10;1;1;0;10;2,98
SA_4B;J4x4;278,15;10;100;1;0;10;3,07
SA_4B;J4x4;278,15;10;1;10;0;10;5,8
SA_4B;J4x4;278,15;10;100;10;0;10;6,49
SA_4B;J4x4;278,15;10000;1;1;0;10;3,26
SA_4B;J4x4;278,15;10000;100;1;0;10;3,48
SA_4B;J4x4;278,15;10000;1;10;0;10;7,14
SA_4B;J4x4;278,15;10000;100;10;0;10;7,29
SA_4B;J4x4;278,15;10;1;0;1;1;1,18
SA_4B;J4x4;278,15;10;100;0;1;1;2,05
SA_4B;J4x4;278,15;10;1;0;10;1;9
SA_4B;J4x4;278,15;10;100;0;10;1;16,1
SA_4B;J4x4;278,15;10000;1;0;1;1;1,41
SA_4B;J4x4;278,15;10000;100;0;1;1;2,17
SA_4B;J4x4;278,15;10000;1;0;10;1;11,9
SA_4B;J4x4;278,15;10000;100;0;10;1;16,3
SA_4B;J4x4;278,15;10;1;0;1;10;6,77
SA_4B;J4x4;278,15;10;100;0;1;10;6,96
SA_4B;J4x4;278,15;10;1;0;10;10;30,6
SA_4B;J4x4;278,15;10;100;0;10;10;31,6
SA_4B;J4x4;278,15;10000;1;0;1;10;7
SA_4B;J4x4;278,15;10000;100;0;1;10;7,29
SA_4B;J4x4;278,15;10000;1;0;10;10;31,2
SA_4B;J4x4;278,15;10000;100;0;10;10;31,8
SA_4B;J4x4;278,15;10;0;1;1;1;2,91
SA_4B;J4x4;278,15;10;0;10;1;1;4,75
SA_4B;J4x4;278,15;10;0;1;10;1;24,3
SA_4B;J4x4;278,15;10;0;10;10;1;31,7
SA_4B;J4x4;278,15;10000;0;1;1;1;5,26
SA_4B;J4x4;278,15;10000;0;10;1;1;10,2
SA_4B;J4x4;278,15;10000;0;1;10;1;29,4
SA_4B;J4x4;278,15;10000;0;10;10;1;40,5
SA_4B;J4x4;278,15;10;0;1;1;10;8,14
SA_4B;J4x4;278,15;10;0;10;1;10;10,3
SA_4B;J4x4;278,15;10;0;1;10;10;36,8
SA_4B;J4x4;278,15;10;0;10;10;10;38,5
SA_4B;J4x4;278,15;10000;0;1;1;10;8,47
SA_4B;J4x4;278,15;10000;0;10;1;10;12,3
SA_4B;J4x4;278,15;10000;0;1;10;10;37,2
SA_4B;J4x4;278,15;10000;0;10;10;10;41,5
SA_4B;J4x4;278,15;0;1;1;1;1;2,86
SA_4B;J4x4;278,15;0;1;10;1;1;4,82
SA_4B;J4x4;278,15;0;1;1;10;1;24
SA_4B;J4x4;278,15;0;1;10;10;1;31,7
SA_4B;J4x4;278,15;0;100;1;1;1;5,23
SA_4B;J4x4;278,15;0;100;10;1;1;8,76
SA_4B;J4x4;278,15;0;100;1;10;1;30,3
SA_4B;J4x4;278,15;0;100;10;10;1;37,8
SA_4B;J4x4;278,15;0;1;1;1;10;8,11
SA_4B;J4x4;278,15;0;1;10;1;10;10,3
SA_4B;J4x4;278,15;0;1;1;10;10;36,7
