# CLUSTER  dG
1dma1malonic     -551.924097020049
1dma1malonic1sa  -1251.3981363145867
1dma1malonic2sa  -1950.8711548892911
1dma1malonic3sa  -2650.3391768018364
1malonic1sa      -1116.504610911834
1malonic2sa      -1815.9657568030823
1malonic3sa      -2515.424092591377
2dma1malonic     -686.7945533005419
2dma1malonic1sa  -1386.2894374019643
2dma1malonic2sa  -2085.770404938035
2dma1malonic3sa  -2785.244844045521
3dma1malonic     -821.662283082649
3dma1malonic1sa  -1521.162542153261
3dma1malonic2sa  -2220.660447000621
