#CLUSTER         dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1dma1malonic     -551.9220305770275   -551.8709446366256   0.00017134308368923275
2dma1malonic     -686.79055668782     -686.7264265729258   0.00021509345931317687
3dma1malonic     -821.6577768915248   -821.5822771842489   0.00025322725901589073
1malonic1sa      -1116.5032965795947  -1116.4512453946984  0.00017458052958755775
1dma1malonic1sa  -1251.395466936864   -1251.3316452663776  0.00021405893169906487
2dma1malonic1sa  -1386.2867166480141  -1386.213369293339   0.0002460082330194921
3dma1malonic1sa  -1521.1581117339017  -1521.0729314884613  0.0002856959431171321
1malonic2sa      -1815.9625446964526  -1815.8977857174516  0.00021720267986283383
1dma1malonic2sa  -1950.8669686659046  -1950.79054430946    0.0002563285475252032
2dma1malonic2sa  -2085.7664694705304  -2085.680874119718   0.0002870882133561376
3dma1malonic2sa  -2220.656337809935   -2220.5606405125277  0.00032097030825785307
1malonic3sa      -2515.420230060495   -2515.343839267381   0.0002562159755636732
1dma1malonic3sa  -2650.333332710934   -2650.2452786927506  0.00029533462412515506
2dma1malonic3sa  -2785.2389244178676  -2785.1409029548713  0.00032876559784194594
