#CLUSTER            dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2am                 -113.05513044646007  -113.02046238790138  0.00011627723816431059
1am1ma              -152.31985969063345  -152.2824343453858   0.00012552522303415554
2ma                 -191.58412669834766  -191.54388997765977  0.0001349546224648227
1am1dma             -191.59099478870922  -191.54929802787572  0.00013985162110847203
1dma1ma             -230.8500686195182   -230.80546630409478  0.00014959689895491213
1am1tma             -230.8641165286778   -230.82152801215398  0.0001428425843496
2dma                -270.1223678890015   -270.07551499833744  0.00015714536529949118
1ma1tma             -270.125328653282    -270.07896324482545  0.00015551034196391805
1eda1ma             -286.1880885986884   -286.14304053377987  0.00015109195005386038
1dma1tma            -309.3942986374582   -309.3441598916556   0.00016816617743615266
1dma1eda            -325.45849763904664  -325.4106593914977   0.0001604502684855202
2tma                -348.67031780365807  -348.62029981630053  0.00016776115162683397
1eda1tma            -364.7303827753648   -364.6799770518765   0.00016906162498167825
2eda                -380.7904895786878   -380.740305076395    0.00016831964545641694
1ma1sa              -795.9266747941987   -795.8823019975182   0.00014882708931888373
2am1sa              -813.1912028994161   -813.144708166121    0.00015594409959799677
1dma1sa             -835.1705273466008   -835.1215813870832   0.00016416555263318043
1sa1tma             -874.4435014690489   -874.3923754637926   0.00017147746186897293
1eda1sa             -890.5349943917538   -890.4854174452784   0.0001662818932598029
2ma1sa              -891.7318677332815   -891.6783763662733   0.0001794109240593604
1am1dma1sa          -891.7404567937155   -891.6870767705535   0.0001790374749689398
1dma1ma1sa          -931.0056757255852   -930.9489375147682   0.0001903008915544401
1am1eda1sa          -947.0681866601477   -947.016031654861    0.00017492874488264304
1ma1sa1tma          -970.2721614846753   -970.2127252376563   0.00019935014931730328
2dma1sa             -970.2754098569152   -970.2160305664556   0.00019915911608116776
1eda1ma1sa          -986.3344275337133   -986.2786139676447   0.00018719961787253258
1dma1sa1tma         -1009.5492805266372  -1009.4878912881543  0.00020590051478423988
1dma1eda1sa         -1025.6061000202633  -1025.5457676866386  0.00020235563852003202
1sa2tma             -1048.8142101449441  -1048.7499614177661  0.00021549128686202863
1eda1sa1tma         -1064.8804710891927  -1064.8174142926182  0.00021149353202957064
2eda1sa             -1080.941441862199   -1080.8791870264702  0.00020880374217333107
2sa                 -1400.223030044164   -1400.1722093757019  0.000170453357243452
1am2sa              -1456.7839889074673  -1456.7284997481631  0.00018611155225283806
1ma2sa              -1496.0646821973273  -1496.0074073993007  0.00019210061387427642
2am2sa              -1513.328795848544   -1513.2716665725673  0.00019161253052679645
1dma2sa             -1535.3437276683735  -1535.2833755728223  0.00020242192034667018
1am1ma2sa           -1552.6101318492051  -1552.5452729755891  0.00021753772804292192
3am2sa              -1569.8812895078593  -1569.8173809637367  0.0002143503073036142
2sa1tma             -1574.6052081554492  -1574.541737758609   0.00021288075411766725
1eda2sa             -1590.6710716619668  -1590.6101541392272  0.00020431837242848417
2ma2sa              -1591.886301506667   -1591.8204317495993  0.00022092824775331334
1am1dma2sa          -1591.886877949801   -1591.8216736755908  0.00021869620731244054
2am1ma2sa           -1609.1511998498506  -1609.0864428354428  0.000217196090584931
1am2sa1tma          -1631.1571617742638  -1631.089991282248   0.0002252909341465387
1dma1ma2sa          -1631.1628847512393  -1631.094549281668   0.0002291982880143163
1am1eda2sa          -1647.2218832745423  -1647.1529549397221  0.00023118676780195768
1am2ma2sa           -1648.427296935291   -1648.3557051600303  0.000240119990812585
2am1dma2sa          -1648.431741634929   -1648.3629423581872  0.0002307539048860508
1ma2sa1tma          -1670.4289582214694  -1670.3602983887347  0.00023028620739487198
2dma2sa             -1670.4299585196525  -1670.3596131626018  0.00023593948365147272
1eda1ma2sa          -1686.4983115530417  -1686.4282281676647  0.00023506082635268017
1am1dma1ma2sa       -1687.6997754804781  -1687.6291799915666  0.00023677843002337324
2am2sa1tma          -1687.700539307943   -1687.62966506181    0.00023771338632557347
2am1eda2sa          -1703.762047097349   -1703.6913632936253  0.0002370746393554062
1dma2sa1tma         -1709.7010928516513  -1709.628056037198   0.0002449666760135973
1dma1eda2sa         -1725.7713834826343  -1725.6961716580554  0.00025226169571990783
1dma2ma2sa          -1726.9675211846018  -1726.8922021428168  0.00025262130399144374
1am2dma2sa          -1726.9736316605452  -1726.896504839229   0.00025868462624934325
1am1ma2sa1tma       -1726.975077346913   -1726.900208037772   0.00025111289331213347
1am1eda1ma2sa       -1743.031047836575   -1742.957240016704   0.0002475526408556879
2sa2tma             -1748.9698501062817  -1748.8934664633878  0.00025619199360708204
1eda2sa1tma         -1765.0393892209606  -1764.9647632293359  0.0002502968023639577
2ma2sa1tma          -1766.2403136909497  -1766.1625447700328  0.0002608382388624948
2dma1ma2sa          -1766.2432013115135  -1766.1640468607325  0.0002654853287977585
1am1dma2sa1tma      -1766.246533918453   -1766.1686733761453  0.0002611455385134679
2eda2sa             -1781.1034669877884  -1781.0300761550038  0.00024615405931420833
1eda2ma2sa          -1782.2984763863833  -1782.2223069470817  0.00025547355123761733
1am1dma1eda2sa      -1782.3076676881706  -1782.2330208826268  0.000250366612590051
1am2sa2tma          -1805.5107461843813  -1805.42971666444    0.0002717743415768818
1dma1ma2sa1tma      -1805.5137302812514  -1805.434884381125   0.0002644504448310366
3dma2sa             -1805.5226520356298  -1805.442746435066   0.0002680046975138957
1am1eda2sa1tma      -1821.5735786437456  -1821.4965699636475  0.0002582883786620125
1dma1eda1ma2sa      -1821.57762108581    -1821.4985249618578  0.0002652896996550067
1am2eda2sa          -1837.6379681410053  -1837.558600860883   0.0002661991619063979
1ma2sa2tma          -1844.7827116781953  -1844.7005396313702  0.0002756063955221478
2dma2sa1tma         -1844.7907478161928  -1844.7069457810674  0.00028107340307038757
1eda1ma2sa1tma      -1860.8468490235584  -1860.7644438755292  0.0002763882207922251
2dma1eda2sa         -1860.8511709690526  -1860.7701842152667  0.0002716309031894324
2eda1ma2sa          -1876.9103335365244  -1876.8275770809353  0.000277566512122151
1dma2sa2tma         -1884.0558383089422  -1883.9715863504507  0.0002825824534346581
1dma1eda2sa1tma     -1900.120293589844   -1900.0362052395506  0.00028203370884963985
1dma2eda2sa         -1916.1860046751005  -1916.1022954624802  0.0002807620748627965
2sa3tma             -1923.3233450668586  -1923.2372039864574  0.00028891859936671174
1eda2sa2tma         -1939.3872603174264  -1939.301315907333   0.00028825896392168266
2eda2sa1tma         -1955.453918339256   -1955.3673383494295  0.00029039070879236715
3eda2sa             -1971.5166527463216  -1971.432799410116   0.0002812454677362759
2am3sa              -2213.479798479764   -2213.4082336736387  0.00024002953588956425
1am1ma3sa           -2252.7527437533554  -2252.6766756865686  0.00025513354615710196
3am3sa              -2270.0214611545284  -2269.9447764155775  0.00025720187472984897
2ma3sa              -2292.026529538519   -2291.948335287167   0.0002622648041319564
1am1dma3sa          -2292.029106502183   -2291.9494816488946  0.0002670630665374213
2am1ma3sa           -2309.3051028640693  -2309.2245231542374  0.0002702656710776065
4am3sa              -2326.571847899258   -2326.490025177998   0.000274434751835861
1dma1ma3sa          -2331.3004215438523  -2331.2197130338086  0.00027069766910526314
1am2ma3sa           -2348.5741502179853  -2348.4892195516363  0.000284858850742305
2am1dma3sa          -2348.578497983574   -2348.4959498400867  0.00027686782990804455
3am1ma3sa           -2365.8452210007     -2365.7594602468116  0.0002876429779915076
2dma3sa             -2370.5731754625035  -2370.489310259646   0.000281285268682227
1eda1ma3sa          -2386.6333924695764  -2386.553554342189   0.00026777839137237465
1am1dma1ma3sa       -2387.845457118802   -2387.7600741408523  0.0002863759112850575
3ma3sa              -2387.846004830739   -2387.761710586436   0.00028272428074007446
2am3sa1tma          -2387.8491160851436  -2387.7650840857837  0.0002818447068921668
2am1eda3sa          -2403.9147168623176  -2403.8311245284863  0.00028037006148305243
3am1dma3sa          -2405.122187177014   -2405.0379291444897  0.00028260282583989307
1dma3sa1tma         -2409.8466946736435  -2409.7615316205406  0.0002856382797347999
1dma1eda3sa         -2425.9078621556737  -2425.821792662397   0.0002886784949746195
