# CLUSTER  dG
1am1dma             -191.32865370155298
1am1dma1eda1ma3sa   -2575.606987774618
1am1dma1eda1ma4sa   -3275.0911679782616
1am1dma1eda2sa      -1780.4429156613123
1am1dma1eda3sa      -2479.932742045523
1am1dma1eda3sa1tma  -2654.021793235792
1am1dma1eda4sa      -3179.4090166792853
1am1dma1eda4sa1tma  -3353.5057792821253
1am1dma1ma2sa       -1685.967379340781
1am1dma1ma3sa       -2385.45164438587
1am1dma1ma3sa1tma   -2559.548749792127
1am1dma1ma4sa       -3084.922861309773
1am1dma1ma4sa1tma   -3259.0343326745847
1am1dma1sa          -890.8054084248658
1am1dma2eda3sa      -2670.084811992545
1am1dma2eda4sa      -3369.5665746810287
1am1dma2ma3sa       -2481.126718862325
1am1dma2ma4sa       -3180.6134523038095
1am1dma2sa          -1590.289634196901
1am1dma2sa1tma      -1764.381719725449
1am1dma3sa          -2289.7622978964278
1am1dma3sa1tma      -2463.8687030272777
1am1dma3sa2tma      -2637.9604009657987
1am1dma4sa1tma      -3163.3425697985626
1am1dma4sa2tma      -3337.4455981666365
1am1eda             -246.594625725199
1am1eda1ma2sa       -1741.231591807907
1am1eda1ma3sa       -2440.7197667860046
1am1eda1ma3sa1tma   -2614.814229971245
1am1eda1ma4sa       -3140.1963650681887
1am1eda1ma4sa1tma   -3314.2982247471814
1am1eda1sa          -946.0735282344758
1am1eda2ma3sa       -2536.3975233983756
1am1eda2ma4sa       -3235.880671551766
1am1eda2sa          -1645.5571296531034
1am1eda2sa1tma      -1819.6490340385367
1am1eda3sa          -2345.0335829805886
1am1eda3sa1tma      -2519.136368997435
1am1eda3sa2tma      -2693.227902550674
1am1eda4sa1tma      -3218.6155572126186
1am1eda4sa2tma      -3392.714333902739
1am1ma              -152.121475434909
1am1ma1sa           -851.593842928096
1am1ma2sa           -1551.0765828785131
1am1ma2sa1tma       -1725.1722878356159
1am1ma3sa           -2250.5500830982837
1am1ma3sa1tma       -2424.6553157476674
1am1ma3sa2tma       -2598.748735422731
1am1ma4sa1tma       -3124.1260265343503
1am1ma4sa2tma       -3298.2323715676134
1am1sa              -755.922937595365
1am1sa1tma          -930.014466767115
1am1tma             -230.536748676629
1am2dma1eda3sa      -2614.8199279218925
1am2dma1eda4sa      -3314.300826150636
1am2dma1ma3sa       -2520.342618460575
1am2dma1ma4sa       -3219.821081965955
1am2dma2sa          -1725.1790840924202
1am2dma3sa          -2424.6638132673884
