#CLUSTER            dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2am                 -113.05517936378172  -113.02048240162597  0.00011637418130386772
1am1ma              -152.32036633066406  -152.28241205265348  0.0001272992722138637
2ma                 -191.58593176089943  -191.54361922382353  0.00014191694474558446
1am1dma             -191.59131779600563  -191.54893127881934  0.00014216507525165146
1dma1ma             -230.85512714073167  -230.8106622101872   0.00014913610781315645
1am1tma             -230.86424280138917  -230.8215468509139   0.00014320291958837283
1am1eda             -246.92363501133792  -246.88136658305967  0.00014176900311337084
2dma                -270.1260860706795   -270.07993116401707  0.00015480431548689006
1ma1tma             -270.12872517284364  -270.0830943393188   0.00015304656557060768
1eda1ma             -286.1892592117014   -286.14457542232446  0.0001498701639341282
1dma1tma            -309.40030507293784  -309.3510747324541   0.0001651193710674212
1dma1eda            -325.46014453455854  -325.4126367845609   0.00015934177426684928
2tma                -348.67031780365807  -348.62029981630053  0.00016776115162683397
1eda1tma            -364.73216958943544  -364.68199343337704  0.00016829165204890846
2eda                -380.7948184950547   -380.7462357639611   0.00016294727852956674
1am1sa              -756.6583630511105   -756.6166708171016   0.00013983643806451078
1ma1sa              -795.9270814146831   -795.8822584409279   0.0001503369906261209
2am1sa              -813.1970224621142   -813.1487008441234   0.00016207150089149255
1dma1sa             -835.2031806445898   -835.1550512313179   0.00016142684310560505
1am1ma1sa           -852.4659537735353   -852.4155094114155   0.0001691912195864154
1sa1tma             -874.4774758085866   -874.4277566387597   0.0001667589127182149
1eda1sa             -890.5369792554873   -890.4884757025521   0.00016268171368501392
2ma1sa              -891.7320787420988   -891.6782041132593   0.00018069639054006832
1am1dma1sa          -891.7405403099815   -891.6864943384628   0.00018127107670188157
1dma1ma1sa          -931.0075504723977   -930.9503922610813   0.0001917095801322139
1am1sa1tma          -931.0115004367848   -930.955768025505    0.00018692742337663446
1am1eda1sa          -947.0740011697065   -947.0183998501824   0.00018648773947388143
1ma1sa1tma          -970.277658152594    -970.2194130284231   0.00019535510370908424
2dma1sa             -970.2784980920268   -970.2184398551931   0.00020143631337828682
1eda1ma1sa          -986.3430383300849   -986.2860921454688   0.00019099843909457678
1dma1sa1tma         -1009.5500401082339  -1009.4877888875545  0.00020879161723773624
1dma1eda1sa         -1025.616258109938   -1025.5559225254642  0.00020236654192072284
1sa2tma             -1048.8245583410599  -1048.7608738853007  0.00021359871124981543
1eda1sa1tma         -1064.884441739712   -1064.8214252356886  0.0002113583901503711
2eda1sa             -1080.9503521213887  -1080.8885490204464  0.00020728861627528362
2sa                 -1400.2386318878407  -1400.1891810059806  0.00016585907046857816
1am2sa              -1456.7958046637464  -1456.7422917412046  0.00017948322167311818
1ma2sa              -1496.070106708553   -1496.0133589433383  0.00019033293716160123
2am2sa              -1513.342051522567   -1513.281452838044   0.0002032489838099114
1dma2sa             -1535.3469805222567  -1535.2868644137416  0.00020163041594869468
1am1ma2sa           -1552.6158239737074  -1552.5534987045382  0.00020903997708957922
3am2sa              -1569.8827509718687  -1569.8178387477128  0.00021771666663057267
2sa1tma             -1574.6166138243861  -1574.554507696436   0.00020830497383889367
1eda2sa             -1590.6805166101449  -1590.6180744652315  0.00020943198025607558
2ma2sa              -1591.8892381689634  -1591.8238931752749  0.0002191681827557008
1am1dma2sa          -1591.8925161019145  -1591.8271748787308  0.0002191555364199174
2am1ma2sa           -1609.1555552895795  -1609.0880028640115  0.0002265719455574895
1am2sa1tma          -1631.1609948752164  -1631.0929841289415  0.00022810916074072113
1dma1ma2sa          -1631.1653571227039  -1631.0965184823515  0.00023088593108325006
1am1eda2sa          -1647.2254317374259  -1647.1583910051002  0.00022485571801315635
1am2ma2sa           -1648.427296935291   -1648.3557051600303  0.000240119990812585
2am1dma2sa          -1648.4316302931684  -1648.3614637097542  0.00023533987393631174
1ma2sa1tma          -1670.435433880387   -1670.366255577523   0.00023202516472995566
2dma2sa             -1670.4419519207274  -1670.3704506171252  0.0002398165473827151
1eda1ma2sa          -1686.4986707613348  -1686.4289210149936  0.0002339417955428214
3ma2sa              -1687.6966319420737  -1687.6256757295396  0.00023798830298202427
2am2sa1tma          -1687.7031103046343  -1687.6317748859065  0.00023926016678809853
1am1dma1ma2sa       -1687.7042285701834  -1687.629469196342   0.00025074416851063775
2am1eda2sa          -1703.7663917407235  -1703.6959246798335  0.0002363476803288943
1dma2sa1tma         -1709.710722072311   -1709.6363899119988  0.0002493112873123975
1dma1eda2sa         -1725.7759726020397  -1725.7028804554493  0.0002451522609104248
1dma2ma2sa          -1726.9724280743096  -1726.8985582528644  0.00024776059515429653
1am1ma2sa1tma       -1726.9750773821895  -1726.9002080376956  0.00025111301188625
1am2dma2sa          -1726.978432315836   -1726.9009765713088  0.00025978784010489
