#CLUSTER            ddG_298.15K_[Eh]     ddH_298.15K_[Eh]     ddS_298.15K_[Eh/K]
2tma                6.113290116452845    -3.2966592404118273  -31.56112479277796
1dma1ma             5.793385725395638    -2.737831336016825   -28.613842231737443
2dma                5.4815428396104835   -4.173524723039009   -32.38325528307156
1eda1ma             5.443910681526177    -4.744983027710987   -34.17371695209744
1eda1tma            5.435122013019281    -4.58109897164104    -33.5945697958483
1dma1eda            5.259799436680623    -5.341366096414276   -35.55648342470896
1ma1tma             5.203627076742123    -3.685470626631286   -29.81417978657833
1am1eda             5.035362973445444    -3.2545868898305343  -27.804628084102077
2ma                 4.976623207578086    -2.7209116273297695  -25.817658342903073
2eda                4.663140546850627    -7.058482345455559   -39.31451582177911
1am1ma              4.557959769481386    -2.459805522179522   -23.537700123072376
1dma1tma            4.500349979149178    -4.31436189415399    -29.564688490136334
1am1dma             4.259742303314852    -2.1610951940820087  -21.53559449067643
1am1tma             4.13703882903792     -3.179116611048812   -24.538505584865575
2am                 3.673806263366714    -1.9733443176664878  -18.940635857864493
1tma                0.0                  0.0                  0.0
1sa                 0.0                  0.0                  0.0
1nta                0.0                  0.0                  0.0
1msa                0.0                  0.0                  0.0
1malonic            0.0                  0.0                  0.0
1ma                 0.0                  0.0                  0.0
1fa                 0.0                  0.0                  0.0
1eda                0.0                  0.0                  0.0
1dma                0.0                  0.0                  0.0
1am                 0.0                  0.0                  0.0
3dma1malonic        -1.703337399463635   -36.564559390506474  -116.9251114915116
2dma1malonic        -3.280282937368611   -25.967253277660348  -76.09247137434288
1dma1malonic        -4.037767860048916   -15.601291847793618  -38.78424949747391
1malonic1sa         -5.610310722258873   -18.47550794784911   -43.150082929272514
2sa                 -5.721720378496684   -17.12328772433102   -38.24104425846781
1am1sa              -6.116759483818896   -14.880628811719362  -29.394161756854004
1ma1sa              -7.595669706061017   -17.809580632543657  -34.257625109289044
2am1sa              -9.45321576675633    -27.76692597020883   -61.42448500202717
1am1ma1sa           -10.441064724815078  -30.837336800759658  -68.40943174831006
1eda1sa             -11.057829496974591  -22.941492753278     -39.85800186532762
2ma1sa              -11.058187910937704  -32.7165475107613    -72.6424940458831
1dma1sa             -11.396639700629748  -21.720065496105235  -34.62493978008028
1malonic2sa         -12.359039225033484  -38.46612955944147   -87.56361004244197
1sa1tma             -12.830358812119812  -23.245695859921398  -34.93321163097359
1am1eda1sa          -13.225253685202915  -34.3648463258869    -70.9025411390286
1am1sa1tma          -13.482933809864335  -33.83474301875685   -68.26030256157601
1am1dma1sa          -13.791645806166343  -34.112212764506694  -68.1555155400087
1ma1sa1tma          -13.871831819647923  -36.06149633278255   -74.42449945642588
1eda1ma1sa          -14.088790194771718  -37.799066137115005  -79.52465518144649
1dma1sa1tma         -14.601125282468274  -36.46126780324266   -73.31927727888113
1dma1ma1sa          -14.712565385969356  -36.49478271609405   -73.05791490846795
2dma1sa             -14.99002351280069   -37.13678171578795   -74.28059098758239
1eda1sa1tma         -15.666572977672331  -38.8415091263887    -77.72911671432217
1sa2tma             -16.01029319560621   -38.06056466384325   -73.95697289403424
2eda1sa             -17.028465425944887  -41.67033861001255   -82.64924763968455
1dma1eda1sa         -17.82729696930619   -41.595029918302316  -79.71736692495634
1malonic3sa         -18.12713564815931   -58.15129976393655   -134.24170422763416
1am2sa              -19.337896757409908  -41.900320601766     -75.67474037945804
1dma1malonic1sa     -19.68966139666736   -44.477548582013696  -83.1389810011162
1ma2sa              -24.87649607518688   -48.823636619141325  -80.31910294779152
2am2sa              -27.010169907356612  -58.83605606353376   -106.74454521562659
2sa1tma             -27.930351504823193  -51.788907202513656  -80.0219879169203
1eda2sa             -28.56006989441812   -52.913296901388094  -81.68112361854276
1dma2sa             -29.27773324411828   -53.295543847372755  -80.556131487679
3am2sa              -29.92984337755479   -72.75876968598459   -143.64892271690587
1am1ma2sa           -31.195681354030967  -65.3527206464205    -114.56327114615826
2dma1malonic1sa     -33.19130386901088   -71.31050062808208   -127.85241240666495
1am2sa1tma          -33.509657380287535  -67.37284657763666   -113.5776930977556
1dma1malonic2sa     -34.12756830465514   -72.2233042762382    -127.77372453872294
3dma1malonic1sa     -34.23410942545161   -84.2368367096642    -167.7099690892863
1am1eda2sa          -34.494947214610875  -69.67234603711404   -117.985573779054
2am1ma2sa           -34.95529207459185   -79.54207425774075   -149.54480021093187
1am1dma2sa          -35.68669478292577   -70.13552946853451   -115.54195769091804
2ma2sa              -36.144611365161836  -71.82135464414023   -119.66038329255305
2am1eda2sa          -37.17005274724215   -83.90721932880115   -156.75722482433417
2am2sa1tma          -37.21458123403136   -82.57068055702257   -152.12510254274585
1ma2sa1tma          -38.657532212673686  -75.19768870269763   -122.55628539346824
1am2sa2tma          -38.75500973267481   -85.5168759720982    -156.84006788335952
2am1dma2sa          -39.08836258330848   -84.21906846074853   -151.36912922066074
3ma2sa              -39.16599414194934   -88.44607015536167   -165.2861848509702
1am2ma2sa           -39.31018728367053   -84.77685559808742   -152.49595275572676
2am3sa              -39.37996387062594   -85.84867921704426   -155.85683497073623
1eda1ma2sa          -39.817194579169154  -76.70926916145254   -123.73662445745964
1dma1ma2sa          -40.509018225828186  -76.17780332744587   -119.63369143499591
1am1eda1ma2sa       -40.92388371145353   -88.60854465782177   -159.9351364950853
2sa2tma             -41.34034161432646   -77.92402916966239   -122.70228930115496
1am1ma2sa1tma       -41.45138661528472   -88.13517424810561   -156.57819095317856
1eda2sa1tma         -41.829559291363694  -79.37031617129105   -125.9123155454198
2sa3tma             -41.893784431391396  -89.7262676176615    -160.43093471879334
2eda2sa             -42.198091739439406  -79.8597482094774    -126.31781475607852
1eda2ma2sa          -42.28399081667885   -92.78895958233625   -169.39449527265197
1am1eda2sa1tma      -42.29169056087267   -89.99281534340116   -159.99035647245267
2ma2sa1tma          -42.43041743815411   -91.49828318794607   -164.57442813881778
1ma2sa2tma          -42.60644525056705   -91.19123528484488   -162.954184249399
1dma2ma2sa          -43.04140813450795   -92.67750140046701   -166.4802725672178
1am2eda2sa          -43.04532573639881   -91.12065221217927   -161.24543510124008
1dma2sa1tma         -43.046448475448415  -78.54183716673288   -119.052117025377
1am1dma2sa1tma      -43.363331517670304  -90.17323626086      -157.00118981387305
1eda2sa2tma         -43.70566266938113   -93.7999499438447    -168.01706280201483
1am1dma1eda2sa      -43.842205868451856  -91.43257973517757   -159.61889608127007
1am1dma1ma2sa       -43.970893468824215  -89.63419975631405   -153.15547974889057
1dma1eda2sa         -44.35050172766205   -81.32952571159694   -124.02825417911741
2dma2sa             -44.99551801639609   -81.17778952594381   -121.35593328645768
1dma1malonic3sa     -45.34156308299862   -97.3557234571781    -174.45634873137936
1eda1ma2sa1tma      -45.36830583575647   -95.24892488386831   -167.3004160600755
1am1ma3sa           -45.756387962261215  -93.18024683068506   -159.060402040011
1dma2sa2tma         -46.10160023113713   -95.54664536315249   -165.83949398611077
1dma1ma2sa1tma      -46.145882185548544  -95.58219054350047   -165.81019070159724
1dma1eda1ma2sa      -46.34909101994708   -96.6200926481979    -168.60976564751016
