#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am       -56.46367064674521   -56.44182246560134   7.32791586244093e-05
1ma       -95.66400576500884   -95.63671603190186   9.153021333889366e-05
1dma      -134.8697332523084   -134.83896255483123  0.00010320542504501294
1tma      -174.07893669031748  -174.04642976487034  0.00010902876219083506
1fa       -189.50528273302544  -189.47710272364188  9.45162146019746e-05
1eda      -190.138590534254    -190.1049592748005   0.00011279979692600499
1nta      -280.5381268568573   -280.50798845491283  0.00010108469543670495
1malonic  -417.0458626656656   -417.00711958416844  0.00012994493207155628
1msa      -663.5296159309826   -663.4936504661521   0.00012062876012202836
1sa       -699.4484932224547   -699.4146829107384   0.00011340034115750205
