#CLUSTER       dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2am            -113.05506225165007  -113.02047146222087  0.00011601807623413661
3am            -169.5809654101358   -169.5411885380951   0.00013341228254468504
2ma            -191.5841317331755   -191.54389097237728  0.00013496817306123826
1am1dma        -191.59100469788072  -191.54928411441648  0.0001399315226035483
4am            -226.1070054764222   -226.05926037932608  0.0001601378403357942
2dma           -270.12587528937513  -270.07940257001     0.0001558702645149283
3ma            -287.3762060448132   -287.32595164724586  0.0001685540753558284
4ma            -383.1672673866515   -383.10751704374104  0.00020040363209940815
3dma           -405.18892534380063  -405.1295276496954   0.00019922084221111924
2put           -537.9079264943589   -537.8499839744626   0.00019434016399891746
1am1sa         -756.6579861147023   -756.616609413204    0.0001387781368383322
1ma1sa         -795.9266372478905   -795.8822189638786   0.00014897965457655944
3put           -806.85781487428     -806.7799570969565   0.0002611362647106254
2am1sa         -813.1969059946643   -813.1486719993912   0.0001617776128561597
1dma1sa        -835.2030963987944   -835.1551161241526   0.0001609266296888639
3am1sa         -869.730390668195    -869.6770885614644   0.00017877614197757253
1sa1tma        -874.4773618869434   -874.4277208560815   0.00016649683334542218
1eda1sa        -890.5369655330035   -890.488471724869    0.000162649029463202
1bda1sa        -890.5369655385854   -890.4884717248791   0.00016264904815128126
2ma1sa         -891.7301460578551   -891.6773381469029   0.00017711860121490323
1am1dma1sa     -891.7397053289056   -891.6863904433039   0.0001788190025210718
4am1sa         -926.2641367390155   -926.2049361956217   0.00019855959548466048
1mda1sa        -929.8121650006523   -929.7604523950416   0.00017344492909830982
1pda1sa        -929.8220102101905   -929.7714203420851   0.00016967924905367777
2am1dma1sa     -948.26811540209     -948.2094528929716   0.00019675501968237998
1diAAmda1sa    -969.0803834412229   -969.0254075920009   0.0001843899018013144
1diABmda1sa    -969.0815801365426   -969.0265353716744   0.00018462104601112343
1put1sa        -969.1038245494124   -969.0510421586658   0.00017703300602551702
2dma1sa        -970.2752982799316   -970.2156464601541   0.0002000731838923332
3ma1sa         -987.5344544239832   -987.471804477112    0.00021012895143788759
1sa1triAABmda  -1008.3536388640836  -1008.295449458536   0.0001951682225305998
1am2dma1sa     -1026.8106631917647  -1026.746708968428   0.00021450351613809258
1sa1teAABBmda  -1047.621326684255   -1047.5609251820274  0.00020258763115142152
1sa2tma        -1048.823158781149   -1048.759674160479   0.00021292846107602066
4put           -1075.813208436549   -1075.7186215126392  0.0003172460972993243
4ma1sa         -1083.3328566975904  -1083.2611337613105  0.00024055990702638255
3dma1sa        -1105.349722905664   -1105.2784552215046  0.00023903298393272685
2put1sa        -1238.0690592917922  -1238.0004115643387  0.00023024560608207815
4dma1sa        -1240.41888652979    -1240.338362378932   0.00027007932536564523
2sa            -1400.2386348312634  -1400.1893190565745  0.00016540591879539188
1am2sa         -1456.7957618516884  -1456.742276815989   0.00017938968874515833
1ma2sa         -1496.069359536413   -1496.0122093759358  0.00019168257748544378
3put1sa        -1507.0419362062123  -1506.957197382372   0.0002842154078162601
2am2sa         -1513.3421341905835  -1513.2827573709076  0.0001991508290319238
1dma2sa        -1535.3469331177473  -1535.286839536959   0.00020155485758272475
3am2sa         -1569.881992835422   -1569.817774144405   0.000215390545084708
2sa1tma        -1574.6168144505482  -1574.55443531721    0.0002092206383972546
1eda2sa        -1590.6791819466866  -1590.6169225490003  0.00020881904305334852
2ma2sa         -1591.8888842206416  -1591.8250168594902  0.0002142121789410315
1am1dma2sa     -1591.8912266560696  -1591.8257976630755  0.00021944991780706465
4am2sa         -1626.418426349364   -1626.3481601955007  0.00023567383485901942
2am1dma2sa     -1648.4277679293546  -1648.3608697788673  0.00022437749618430076
1put2sa        -1669.2514474207971  -1669.1883524511707  0.00021162156507304594
2dma2sa        -1670.442006832063   -1670.371704438545   0.00023579538325642528
3ma2sa         -1687.6919552492095  -1687.6163789155244  0.00025348426525267714
3am1dma2sa     -1704.9567794149207  -1704.8809967952482  0.00025417615184448956
1am2dma2sa     -1726.978432315836   -1726.9009765713088  0.00025978784010489
2sa2tma        -1748.983091841302   -1748.9087741811961  0.00024926265338193795
4put1sa        -1776.00386515295    -1775.9013587766317  0.0003438080708313704
4ma2sa         -1783.4955464979055  -1783.4116946323452  0.0002812405351678902
2am2dma2sa     -1783.5063698414667  -1783.4215976261     0.0002843274035441134
3dma2sa        -1805.5214336129266  -1805.4396612949604  0.0002742656983604474
1am3dma2sa     -1862.0567093796599  -1861.9701850052757  0.00029020417368545037
2put2sa        -1938.2331755499588  -1938.1521164517228  0.00027187354766418977
4dma2sa        -1940.5930785628223  -1940.5006265908683  0.00031008543335248837
3sa            -2100.35932729638    -2100.2971683855503  0.0002084820084842244
