#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2am       -113.05506225165007  -113.02047146222087  0.00011601807623413661
3am       -169.5809654101358   -169.5411885380951   0.00013341228254468504
4am       -226.1070054764222   -226.05926037932608  0.0001601378403357942
1am1sa    -756.6579861147023   -756.616609413204    0.0001387781368383322
2am1sa    -813.1969059946643   -813.1486719993912   0.0001617776128561597
3am1sa    -869.730390668195    -869.6770885614644   0.00017877614197757253
4am1sa    -926.2641367390155   -926.2049361956217   0.00019855959548466048
1am2sa    -1456.7957618516884  -1456.742276815989   0.00017938968874515833
2am2sa    -1513.3421341905835  -1513.2827573709076  0.0001991508290319238
3am2sa    -1569.881992835422   -1569.817774144405   0.000215390545084708
4am2sa    -1626.418426349364   -1626.3481601955007  0.00023567383485901942
1am3sa    -2156.9228254306913  -2156.8552822565002  0.0002265409162879214
2am3sa    -2213.4780637905114  -2213.4061277907745  0.0002412745253635318
3am3sa    -2270.0311540274406  -2269.9542475289286  0.00025794565994244757
4am3sa    -2326.5785619579005  -2326.499878570303   0.0002639053751397521
1am4sa    -2857.0476329337866  -2856.9688420670686  0.0002642658618747391
2am4sa    -2913.6091101088127  -2913.5267179241196  0.00027634474154992854
3am4sa    -2970.1647553110865  -2970.077792544094   0.00029167454969826343
4am4sa    -3026.7234999755206  -3026.6310176340403  0.000310187293242588
5am4sa    -3083.2603396596273  -3083.164629555653   0.000321013261694603
1am5sa    -3557.1698319502825  -3557.0786081505685  0.0003059661234752416
2am5sa    -3613.7307136565437  -3613.6347368576894  0.00032190776070495695
3am5sa    -3670.3038121127342  -3670.2026851500777  0.00033918149473880275
4am5sa    -3726.8519782185585  -3726.744896382901   0.000359154236650354
5am5sa    -3783.4128431146364  -3783.302418993703   0.0003703643163958318
