#CLUSTER    dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1dma     -191.59100469788072  -191.54928411441648  0.0001399315226035483
1am1dma1sa  -891.7397053289056   -891.6863904433039   0.0001788190025210718
2am1dma1sa  -948.26811540209     -948.2094528929716   0.00019675501968237998
1am2dma1sa  -1026.8106631917647  -1026.746708968428   0.00021450351613809258
1am1dma2sa  -1591.8912266560696  -1591.8257976630755  0.00021944991780706465
2am1dma2sa  -1648.4277679293546  -1648.3608697788673  0.00022437749618430076
3am1dma2sa  -1704.9567794149207  -1704.8809967952482  0.00025417615184448956
1am2dma2sa  -1726.978432315836   -1726.9009765713088  0.00025978784010489
2am2dma2sa  -1783.5063698414667  -1783.4215976261     0.0002843274035441134
1am3dma2sa  -1862.0567093796599  -1861.9701850052757  0.00029020417368545037
1am1dma3sa  -2292.0293825214244  -2291.9515293550003  0.00026112079967871246
2am1dma3sa  -2348.5828151960204  -2348.501092053313   0.00027410076373338095
3am1dma3sa  -2405.123800409774   -2405.039060836777   0.00028421792050050933
1am2dma3sa  -2427.124189849507   -2427.0364301058585  0.00029434762250041247
2am2dma3sa  -2483.674371631825   -2483.5829806734982  0.00030652677620940377
1am3dma3sa  -2562.2199798829492  -2562.122453017089   0.00032710671091817786
1am1dma4sa  -2992.1595854170137  -2992.0690178980753  0.0003037649469674764
2am1dma4sa  -3048.7169663143736  -3048.624939152438   0.00030866061356880003
3am1dma4sa  -3105.2672319359694  -3105.166462230466   0.00033798324837692214
1am2dma4sa  -3127.2674680582068  -3127.169688663275   0.00032795369757412875
2am2dma4sa  -3183.8204268791924  -3183.7176287373786  0.00034478665709871184
1am3dma4sa  -3262.3598553778197  -3262.248769672068   0.00037258328274859847
