#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2dma      -270.12587528937513  -270.07940257001     0.0001558702645149283
3dma      -405.18892534380063  -405.1295276496954   0.00019922084221111924
1dma1sa   -835.2030963987944   -835.1551161241526   0.0001609266296888639
2dma1sa   -970.2752982799316   -970.2156464601541   0.0002000731838923332
3dma1sa   -1105.349722905664   -1105.2784552215046  0.00023903298393272685
4dma1sa   -1240.41888652979    -1240.338362378932   0.00027007932536564523
1dma2sa   -1535.3469331177473  -1535.286839536959   0.00020155485758272475
2dma2sa   -1670.442006832063   -1670.371704438545   0.00023579538325642528
3dma2sa   -1805.5214336129266  -1805.4396612949604  0.0002742656983604474
4dma2sa   -1940.5930785628223  -1940.5006265908683  0.00031008543335248837
1dma3sa   -2235.478928612585   -2235.406319575871   0.00024353190244597126
2dma3sa   -2370.5796744865797  -2370.495942338093   0.00028083900213648046
3dma3sa   -2505.6779893254075  -2505.584807211398   0.0003125343418050403
4dma3sa   -2640.7620543362978  -2640.6578782599486  0.0003494082721756873
1dma4sa   -2935.60075681349    -2935.515890406283   0.0002846433245260767
2dma4sa   -3070.7089854856968  -3070.614883702366   0.00031561892782388027
3dma4sa   -3205.8093133090915  -3205.7039643870753  0.00035334201581781367
4dma4sa   -3340.9079415491638  -3340.790914822343   0.0003925095650536286
5dma4sa   -3476.001245330709   -3475.874023405628   0.00042670442757359196
1dma5sa   -3635.724649930266   -3635.627283488367   0.00032656864631580004
