# CLUSTER  dG
1am1b     -755.418082673134
1am1b1sa  -1454.9215524699546
1am1b2sa  -2154.4157457437573
1am1b3sa  -2853.895658498241
1am1p1sa  -756.2596565879131
1am1sa    -755.925331300026
1am2sa    -1455.3995628546231
1am3sa    -2154.8691142406897
1b1sa     -1398.460569925917
1b2sa     -2097.940017078735
1b3sa     -2797.4131709561225
2am1b1sa  -1511.3876920860312
2am1b2sa  -2210.8897833371125
2am1b3sa  -2910.3730259684803
2am1b4sa  -3609.854238003816
2am1p     -113.27900072758298
2am1p1sa  -812.7557230483972
2am1p2sa  -1512.229872291566
2am1sa    -812.395896510089
2am2sa    -1511.8746816635858
2am3sa    -2211.3507111517692
2am4sa    -2910.8232442925737
2sa       -1398.9140495403751
3am1b2sa  -2267.353854169987
3am1b3sa  -2966.851420080049
3am1b4sa  -3666.3333149458913
3am1b5sa  -4365.813913756384
3am1p1sa  -869.234712522509
3am1p2sa  -1568.721973972518
3am1p3sa  -2268.1913928422878
3am2sa    -1568.3441262175918
3am3sa    -2267.8324867957326
3am4sa    -2967.307313482593
3am5sa    -3666.779977091025
3sa       -2098.375043410388
4am1b3sa  -3023.321210968714
4am1b4sa  -3722.8163906451177
4am1b5sa  -4422.2948116221005
4am1p2sa  -1625.202415381145
4am1p3sa  -2324.6819928666505
4am1p4sa  -3024.1584234300203
4am3sa    -2324.302124104285
4am4sa    -3023.794381418432
4am5sa    -3723.2688695787774
4am6sa    -4422.73955172364
5am1b4sa  -3779.2863436362377
5am1b5sa  -4478.7722692106645
5am1p3sa  -2381.1583016775394
5am1p4sa  -3080.6400307073286
5am1p5sa  -3780.1180742547735
5am4sa    -3080.263972229449
5am5sa    -3779.753196443667
5am6sa    -4479.227873361401
6am1b5sa  -4535.2505538608775
6am1p4sa  -3137.1221002005686
6am1p5sa  -3836.6069232673
6am1p6sa  -4536.08060073908
6am5sa    -3836.2226759615646
6am6sa    -4535.71541258297
