#CLUSTER     dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2am          -113.05510819707091  -113.02048142498916  0.00011613876264211014
1am1ma       -152.3199912901172   -152.28152260586828  0.0001290245991914095
2ma          -191.58410196078785  -191.54388500665456  0.0001348883251158179
1am1dma      -191.5910969513307   -191.5492861010472   0.00014023427899887054
1dma1ma      -230.85500752776554  -230.81166579841477  0.0001453688725499606
1am1tma      -230.86412239503034  -230.82152999789076  0.00014285559999852645
1am1eda      -246.92320419373874  -246.87904471026548  0.00014811163331634474
2dma         -270.1258857418501   -270.07940356067843  0.00015590199956943936
1ma1tma      -270.128555802779    -270.0830765481759   0.0001525381673758495
1eda1ma      -286.1891271870455   -286.14460680465083  0.00014932209422990227
1dma1tma     -309.40030273183635  -309.3510737315588   0.0001651148759937781
1dma1eda     -325.45848561216496  -325.41065739890223  0.0001604166133245215
2tma         -348.66944548210773  -348.6184119383159   0.00017116734459789174
1eda1tma     -364.7313029986183   -364.68060352123996  0.0001700468803565439
2eda         -380.7948184950547   -380.7462357639611   0.00016294727852956674
1am1sa       -756.6579884396813   -756.6166104079928   0.0001387825983181793
1ma1sa       -795.9266515750766   -795.8822249390271   0.00014900766744741848
2am1sa       -813.1968364260192   -813.1486531066587   0.0001616076450126323
1dma1sa      -835.203096688489    -835.1551161242219   0.00016092760109732377
1am1ma1sa    -852.4652234674494   -852.4145929066184   0.00016981573312430567
1sa1tma      -874.4773624886004   -874.4277218556285   0.0001664954988154741
1eda1sa      -890.5369670290888   -890.4884697300739   0.0001626607379337046
2ma1sa       -891.7319073816036   -891.6785960440391   0.0001788071023461057
1am1dma1sa   -891.7405362061571   -891.6864953356055   0.00018125396797449405
1dma1ma1sa   -931.0062616290967   -930.9490085359872   0.0001920278152254979
1am1sa1tma   -931.0114928301014   -930.9557700190762   0.00018689522396492345
1am1eda1sa   -947.0740011697065   -947.0183998501824   0.00018648773947388143
1ma1sa1tma   -970.2776521466105   -970.2194200055555   0.00019531155812490064
2dma1sa      -970.2785086102359   -970.2186319945035   0.0002008271532194236
1eda1ma1sa   -986.3401770646245   -986.2815743539683   0.00019655445465793927
1dma1sa1tma  -1009.5488473881144  -1009.487515073327   0.00020570959177380137
1dma1eda1sa  -1025.615800012321   -1025.555439861362   0.00020244893831667158
1sa2tma      -1048.8245583410599  -1048.7608738853007  0.00021359871124981543
1eda1sa1tma  -1064.884441739712   -1064.8214252356886  0.0002113583901503711
2eda1sa      -1080.9501888677535  -1080.8885361007256  0.00020678439385499913
2sa          -1400.2382075096036  -1400.1888200379237  0.0001656463916814479
1am2sa       -1456.7958046637464  -1456.7422917412046  0.00017948322167311818
1ma2sa       -1496.0693601929574  -1496.0122083766337  0.00019168813122171676
2am2sa       -1513.342051522567   -1513.281452838044   0.0002032489838099114
1dma2sa      -1535.346962146905   -1535.2868514826962  0.00020161215565579668
1am1ma2sa    -1552.6145114814008  -1552.5506911471966  0.0002140544497877406
2sa1tma      -1574.6166137153305  -1574.5545037098345  0.00020831797919134974
1eda2sa      -1590.6805166101449  -1590.6180744652315  0.00020943198025607558
2ma2sa       -1591.888018901191   -1591.8202581047997  0.0002272708247228764
1am1dma2sa   -1591.8925161019145  -1591.8271748787308  0.0002191555364199174
1am2sa1tma   -1631.1598643160085  -1631.0939192027477  0.00022118099366353868
1dma1ma2sa   -1631.1653552884966  -1631.0973994250937  0.00022792508268635475
1am1eda2sa   -1647.224993347245   -1647.1582483582868  0.0002238637898983414
1ma2sa1tma   -1670.435433880387   -1670.366255577523   0.00023202516472995566
2dma2sa      -1670.4386815453067  -1670.365289316054   0.00024615874309108076
1eda1ma2sa   -1686.4975823773     -1686.4275176690116  0.00023499818308986268
1dma2sa1tma  -1709.7124464278152  -1709.640314755823   0.00024193081332225336
1dma1eda2sa  -1725.7760499608412  -1725.7043614237823  0.00024044453147351708
2sa2tma      -1748.983077532371   -1748.9087692149635  0.0002492313178179404
1eda2sa1tma  -1765.0468130939769  -1764.9728799070033  0.00024797312417755243
2eda2sa      -1781.1066903601604  -1781.0326982308968  0.00024817081758709067
