# CLUSTER  dG
1gd1sa    -904.5044947186101
1gd2sa    -1603.983646858347
1gd3sa    -2303.4552481363103
1gd4sa    -3002.9214753085357
2gd       -410.044492049814
2gd1sa    -1109.53736723385
2gd2sa    -1809.0516640734081
2gd3sa    -2508.5263861048425
2gd4sa    -3207.9978924949937
2sa       -1398.9128663322597
3gd       -615.066279110574
3gd1p1sa  -1314.9989447703392
3gd1sa    -1314.5735404968032
3gd2sa    -2014.0866694018378
3gd3sa    -2713.5922850179013
3gd4sa    -3413.0735868840848
3sa       -2098.375043503544
4gd       -820.0985669704771
4gd1p2sa  -2219.5428572431483
4gd1sa    -1519.6045879516482
4gd2sa    -2219.1270228793264
4gd3sa    -2918.6474739991877
4gd4sa    -3618.1565922652567
4sa       -2797.8377642460305
