#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2gd       -410.5590785100913   -410.5129870564308   0.00015459149307554175
3gd       -615.8404707283796   -615.7822810290834   0.00019516920776866187
4gd       -821.134177536121    -821.064857159212    0.0002325016834111089
1gd1sa    -905.4290758671499   -905.3795609473691   0.000166073854706517
2gd1sa    -1110.7218845965278  -1110.6623241538061  0.00019976670374521486
3gd1sa    -1316.0160641032655  -1315.9443754083768  0.00024044506083766481
2sa       -1400.2381227857643  -1400.1897407957129  0.00016227398977509475
4gd1sa    -1521.3079863890075  -1521.2266757953714  0.00027271706736888896
1gd2sa    -1605.5723382625883  -1605.512711521268   0.00019998907033429164
2gd2sa    -1810.9010433774006  -1810.8266256436984  0.00024959830186895764
3gd2sa    -2016.2026905465023  -2016.1216380900905  0.00027185127087633583
3sa       -2100.3609744214773  -2100.299397205725   0.00020653099363437797
4gd2sa    -2221.499669292442   -2221.4075469402237  0.0003089798833419317
1gd3sa    -2305.705294839789   -2305.632118836764   0.00024543351676992083
2gd3sa    -2511.0410349877093  -2510.957348910969   0.0002806844767405118
3gd3sa    -2716.368611745907   -2716.2719126582215  0.00032433032931545143
4sa       -2800.486466395365   -2800.413101233788   0.00024606795766171505
4gd3sa    -2921.683930537451   -2921.576211708719   0.0003612907218922562
1gd4sa    -3005.832380798788   -3005.7462745431003  0.0002888017967049594
2gd4sa    -3211.173271802643   -3211.078425891367   0.0003181147451815757
3gd4sa    -3416.5109346216323  -3416.403136883275   0.0003615553860719975
4gd4sa    -3621.8595549031493  -3621.7413121528457  0.00039658812780072174
