# CLUSTER  dG
10w        -763.3617791102652
1b1gd      nan
1b1gd1sa   nan
1b1gd2sa   nan
1b1gd3sa   nan
1b1gd4sa   nan
1b1sa      nan
1b2gd      nan
1b2gd1sa   nan
1b2gd2sa   nan
1b2gd3sa   nan
1b2gd4sa   nan
1b2gd5sa   nan
1b2sa      nan
1b3gd      nan
1b3gd1sa   nan
1b3gd2sa   nan
1b3gd3sa   nan
1b3gd4sa   nan
1b3gd5sa   nan
1b3gd6sa   nan
1b3sa      nan
1b4gd1sa   nan
1b4gd2sa   nan
1b4gd3sa   nan
1b4gd4sa   nan
1b4gd5sa   nan
1b5gd2sa   nan
1b5gd3sa   nan
1b5gd4sa   nan
1b6gd3sa   nan
1msa1sa    -1362.996878084221
1msa1sa1w  -1439.3400028290482
1msa1sa2w  -1515.6774909768928
1msa1sa3w  -1592.015955720527
1msa1w     -739.8722522894419
1msa2sa    -2062.460023213752
1msa2sa1w  -2138.8009304315888
1msa2sa2w  -2215.1413401986906
1msa2sa3w  -2291.4816410089234
1msa2w     -816.211404599224
1msa3w     -892.550152197878
1sa1w      -775.792712383352
1sa2w      -852.13243748704
1sa3w      -928.4727311157818
2b3gd1sa   nan
2b4gd1sa   nan
2msa       -1327.0761739106943
2msa1sa    -2026.537912636975
2msa1sa1w  -2102.879543816727
2msa1sa2w  -2179.221658970827
2msa1sa3w  -2255.5615100526416
2msa1w     -1403.414506250593
2msa2sa    -2726.0002117143986
2msa2sa1w  -2802.3455537104887
2msa2sa2w  -2878.6866795918527
2msa2sa3w  -2955.030019930122
2msa2w     -1479.754874627719
2msa3w     -1556.0936679410427
2sa        -1398.912866490609
2sa1w      -1475.256454860825
2sa2w      -1551.5984368720722
2sa3w      -1627.938170759265
2w         -152.67096742201403
3w         -229.006310681466
4w         -305.34434875567604
5w         -381.68091925848097
6w         -458.01642006995104
7w         -534.349280776585
8w         -610.6863541945341
9w         -687.0259596298472
