# CLUSTER  dG
1gd1sa  -904.50418983838
1gd2sa  -1603.983617819707
1gd3sa  -2303.4552189850137
1gd4sa  -3002.9200421877
2gd     -410.0444922058269
2gd1sa  -1109.5373673322747
2gd2sa  -1809.051705401051
2gd3sa  -2508.5253492600573
2gd4sa  -3207.993692796401
2sa     -1398.9128601395776
3gd     -615.0662792268199
3gd1sa  -1314.5735414300011
3gd2sa  -2014.0809824077787
3gd3sa  -2713.591070486948
3gd4sa  -3413.067618946051
3sa     -2098.3740093351685
4gd     -820.0983108797029
4gd1sa  -1519.6018769169557
4gd2sa  -2219.114763193494
4gd3sa  -2918.6474730872083
4gd4sa  -3618.1521331501376
4sa     -2797.8390562095065
