#CLUSTER    dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1sa      -756.6580145851967   -756.6166233459779   0.0001388268965915102
1ma1sa      -795.926630204107    -795.882223949853    0.00014893930657051225
2am1sa      -813.1968504001171   -813.1486610769357   0.0001616277819264617
1dma1sa     -835.2031364198596   -835.1551181041419   0.00016105422008258567
1am1ma1sa   -852.465517967516    -852.4153901641326   0.00016812947638217849
1sa1tma     -874.4773246354569   -874.4277109137332   0.0001664052380467507
2ma1sa      -891.7319322949256   -891.6786030107287   0.0001788672956462198
1am1dma1sa  -891.7396835894401   -891.6863844731233   0.0001787661120805126
1am1sa1tma  -931.0115004367848   -930.955768025505    0.00018692742337663446
2dma1sa     -970.2778080779481   -970.2189457938979   0.0001974250680871699
1sa2tma     -1048.8231304085884  -1048.7596751647156  0.00021282993081594008
1am2sa      -1456.7957366039882  -1456.7420756627826  0.00017997967870422025
1ma2sa      -1496.0693723028767  -1496.0122183377605  0.00019169533830649683
2am2sa      -1513.341391137631   -1513.2806830595785  0.0002036158915065811
1dma2sa     -1535.3466978876825  -1535.2865817482952  0.00020163051949414034
1am1ma2sa   -1552.6155060488147  -1552.5535460221417  0.00020781494775474815
2sa1tma     -1574.6167439476312  -1574.554414419496   0.0002090542617312375
2ma2sa      -1591.8879599975116  -1591.8202441896728  0.00022711993237931803
1am1dma2sa  -1591.8917542351005  -1591.8266582834995  0.00021833289150144852
1am2sa1tma  -1631.1603111675827  -1631.0932644982245  0.00022487563091786134
2dma2sa     -1670.4412918520136  -1670.3695936332329  0.00024047700412800266
2sa2tma     -1748.9831072311147  -1748.90877317536    0.00024931764465768003
