#CLUSTER         dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
3am3sa           -2270.031566001815   -2269.9558343781687  0.00025400511033553375
3ma3sa           -2387.8518318821657  -2387.763659778389   0.00029573068514687567
1am1dma1ma3sa    -2387.8577567264147  -2387.7741328877814  0.00028047572910707157
1am1ma3sa1tma    -2427.1241735400854  -2427.03880227327    0.00028633663194787314
1am1eda1ma3sa    -2443.191918932539   -2443.106850369006   0.0002853213601630222
1am1dma3sa1tma   -2466.397763882054   -2466.308030050301   0.0003009687464459472
1am1dma1eda3sa   -2482.4658354737785  -2482.3758114705324  0.0003019419864030873
1dma1ma3sa1tma   -2505.6735779043224  -2505.581953591031   0.00030730945259543907
3dma3sa          -2505.6780012067215  -2505.58481018965    0.00031256420282306817
1am1eda3sa1tma   -2521.728315364831   -2521.635279931554   0.00031204237221793557
1dma1eda1ma3sa   -2521.737713915264   -2521.644380861467   0.0003130405963330872
1eda1ma3sa1tma   -2561.007012272969   -2560.9133073936164  0.00031428770535840825
1dma1eda3sa1tma  -2600.2792157884182  -2600.182480402263   0.00032445207497946825
3sa3tma          -2623.476830564835   -2623.378130099622   0.0003310429824350887
3eda3sa          -2671.67946537783    -2671.5799667442134  0.00033372005237889606
