#CLUSTER   ddG_298.15K_[Eh]     ddH_298.15K_[Eh]     ddS_298.15K_[Eh/K]
3am1b3sa   438843.8577204702    438764.3464980263    -266.6819468195914
1b2dma5sa  438790.8253816264    438690.37823900534   -336.901367165734
1b3dma5sa  438773.8580928494    438661.12676596735   -378.1027230660373
4am        12.992432059167186   -11.624004602112109  -82.56393312523457
10w        12.889488337154035   -77.90589907485992   -304.5292215736746
8w         11.972146089712624   -57.64680466684513   -233.50310500326998
9w         11.557714820432011   -68.23660717601888   -267.63146737088607
7w         11.52920243202243    -46.81059048953466   -195.6726242549156
4dma       11.231757681292947   -19.505428344535176  -103.09302708673897
6w         9.408645089599304    -36.0508045994211    -152.4717413687382
3dma       9.142342185834423    -11.513948358304333  -69.28153796478047
3am        8.02662454948586     -7.418765016409452   -51.804090444071335
5w         7.039586827508174    -29.18062732508406   -121.4831935358321
2dma       5.741408985923044    -3.654629383701831   -31.514467112543656
4w         5.400222955620848    -21.3165363324224    -89.60844973358674
3w         4.828289890807355    -12.054036483372329  -56.62360011479821
1fd1gd     4.822280941079953    -4.292888916985248   -30.572429509085076
2am        4.0527400007267715   -1.6511738846602384  -19.131020913651653
2w         3.180257827960304    -3.3219311430002563  -21.808448670125372
1b2dma     1.3034243372094352   -21.249004705634434  -75.64121765238832
1am1b      1.0380666611599736   -8.727241534215864   -32.75300417761956
1b1dma     0.4102645345410565   -11.569575745263137  -40.18058118362305
1gd1ml     0.2462636224954622   -9.978147661822732   -34.29284348248721
1gd1w      0.16794788192783017  -9.166371318337042   -31.30746000437177
1w         0.0                  0.0                  0.0
1tma       0.0                  0.0                  0.0
1sa        0.0                  0.0                  0.0
1pxml      0.0                  0.0                  0.0
1pxfa      0.0                  0.0                  0.0
1msa       0.0                  0.0                  0.0
1ml        0.0                  0.0                  0.0
1ma        0.0                  0.0                  0.0
1gd        0.0                  0.0                  0.0
1fd        0.0                  0.0                  0.0
1fa        0.0                  0.0                  0.0
1dma1p     0.0                  0.0                  0.0
1dma       0.0                  0.0                  0.0
1b         0.0                  0.0                  0.0
1am1p      0.0                  0.0                  0.0
1am        0.0                  0.0                  0.0
1msa1w     -0.989704531384632   -10.997541139819077  -33.566448460707626
1msa2w     -1.1195964988437481  -20.959041736408835  -66.54182538205
2gd        -1.3953548319404945  -12.422450325189857  -36.98505951125759
3gd        -1.4852950249332935  -24.895515556796454  -78.51826440350024
1gd1pxml   -1.532499319378985   -13.001783903921023  -38.4681689906848
