# CLUSTER  dG
1am         -56.46355011211899
1am1p       -56.785040652709995
1b          -698.955639334035
1bda        nan
1diAAmda    nan
1diABmda    nan
1dma        -134.86981877545296
1dma1p      -135.221840950399
1eda        nan
1fa         -189.506042925395
1fd         -114.33685971985902
1gd         -205.02046228864697
1homJ       nan
1ma         -95.663942704425
1mda        nan
1ml         -115.53280742456398
1msa        -663.531779273254
1nta        nan
1pda        nan
1put        nan
1pxfa       -264.540045017932
1pxml       -190.574317742321
1sa         -699.4509851060889
1teAABBmda  nan
1tma        -174.079197840165
1triAABmda  nan
1w          -76.33802369083199
