#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am       -56.46369067664521   -56.44184249550134   7.32791586244093e-05
1am1p     -56.78524108342624   -56.76414111110816   7.076965392613149e-05
1w        -76.3381106049662    -76.31669655161164   7.182308688436955e-05
1ma       -95.66420588160385   -95.63691614849684   9.153021333889366e-05
1fd       -114.33696840541411  -114.3114959123012   8.543516053307079e-05
1ml       -115.53301904051217  -115.50600564575437  9.06033699742178e-05
1dma      -134.87020448586625  -134.83943235184282  0.00010321024324491759
1dma1p    -135.22228797523107  -135.1918478348576   0.0001020967310866739
1tma      -174.0797040367356   -174.047140845501    0.00010921747856663881
1fa       -189.50618284794947  -189.47800283872337  9.451621407368218e-05
1pxml     -190.57454716729228  -190.54389644358798  0.00010280303103906564
1gd       -205.02078094874872  -204.98894873365208  0.00010676577258645716
1pxfa     -264.54020480718657  -264.50924209830043  0.0001038494344663804
1msa      -663.5320228205023   -663.4960588753288   0.00012062366316818721
1b        -698.9555766263537   -698.9212181489992   0.00011523889771820646
1sa       -699.4511602839088   -699.4173514015065   0.00011339554721555806
