#CLUSTER         dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am              -56.52989156452621   -56.50804338338234   7.32791586244093e-05
1am1p            -56.85720843071624   -56.836108458398165  7.076965392613149e-05
1w               -76.40560891413422   -76.38419486077964   7.182308688436955e-05
1ma              -95.79628217717885   -95.76899244407186   9.153021333889366e-05
2am              -113.05507796221785  -113.02047145907885  0.00011607078027504852
2am1p            -113.42236889249114  -113.39082517263601  0.00010579815480503784
1fd              -114.46448368555511  -114.43901119244218  8.543516053307079e-05
1ml              -115.66632461594817  -115.63931122119035  9.06033699742178e-05
1dma             -135.0670077104133   -135.03623557638983  0.00010321024324491759
1dma1p           -135.42275302483208  -135.3923128844586   0.0001020967310866739
1am1ma           -152.3199912901172   -152.28152260586828  0.0001290245991914095
2w               -152.80828367218353  -152.77581757007198  0.00010889184005220647
3am              -169.58213185913664  -169.5412013646672   0.00013728155113012494
1tma             -174.33978119657058  -174.30721800533595  0.00010921747856663881
1fa              -189.70262792255446  -189.67444791332838  9.451621407368218e-05
1bda             -190.39949752999792  -190.36586671494064  0.00011279830641385108
1eda             -190.39950091260002  -190.3658687077267   0.00011280296787972305
1pxml            -190.7743504249713   -190.743699701267    0.00010280303103906564
2ma              -191.5841317331755   -191.54389097237728  0.00013496817306123826
1am1dma          -191.59100469788072  -191.54928411441648  0.0001399315226035483
1gd              -205.27722466010172  -205.24539244500508  0.00010676577258645716
4am              -226.1074775737201   -226.05931404272823  0.00016154127449898443
4am1p            -226.60888363956914  -226.55884621609258  0.00016782634068952107
3w               -229.21473268433704  -229.17739450142437  0.00012523287913015463
1mda             -229.6704873884488   -229.63334803125545  0.00012456601439996123
1pda             -229.67852053073145  -229.64198424438734  0.00012254330486035706
1dma1ma          -230.85500752776554  -230.81166579841477  0.0001453688725499606
1am1tma          -230.86412239503034  -230.82152999789076  0.00014285559999852645
1am1eda          -246.92320419373874  -246.87904471026548  0.00014811163331634474
1pxfa            -264.8010377892546   -264.7700750803685   0.0001038494344663804
1diABmda         -268.93995611061905  -268.89979391653077  0.00013470465902484043
1diAAmda         -268.9418203819248   -268.9023155103274   0.00013249998858758355
1put             -268.95673507362255  -268.91614488404184  0.00013614016294045828
2dma             -270.12598705749826  -270.07941648419     0.00015619846824841853
1ma1tma          -270.128555802779    -270.0830765481759   0.0001525381673758495
2dma1p           -270.5165061476695   -270.4709241059285   0.0001528829171256313
1nta             -280.8075747081684   -280.7774358302155   0.00010108629197686104
1gd1w            -281.6851766939685   -281.6468057634843   0.00012869673145809727
5am1p            -283.04924390955796  -282.99180609809076  0.00019264736363301213
1eda1ma          -286.1891271870455   -286.14460680465083  0.00014932209422990227
3ma              -287.3762060448132   -287.32595164724586  0.0001685540753558284
4w               -305.62329477233556  -305.5802148641908   0.00014449071992201382
1triAABmda       -308.2128800267772   -308.17001333888305  0.00014377557569724705
1dma1tma         -309.40030273183635  -309.3510737315588   0.0001651148759937781
1fd1gd           -319.73462633386595  -319.69184772331346  0.00014348016284578411
1gd1ml           -320.94514772628713  -320.9025959210588   0.00014271945406119815
1dma1eda         -325.45848561216496  -325.41065739890223  0.0001604166133245215
1teAABBmda       -347.48159486190514  -347.43536862325305  0.00015504356415264227
2tma             -348.66944548210773  -348.6184119383159   0.00017116734459789174
1eda1tma         -364.7313029986183   -364.68060352123996  0.0001700468803565439
2eda             -380.7948184950547   -380.7462357639611   0.00016294727852956674
5w               -382.02965635492006  -381.9803072690064   0.00016551764519082878
4ma              -383.1672673866515   -383.10751704374104  0.00020040363209940815
1fa1gd           -394.99418874646926  -394.95206280439714  0.00014129110203620792
1gd1pxml         -396.0563188532071   -396.0121135713808   0.00014826524174504606
3dma             -405.18892581764345  -405.1295276495005   0.00019922243214130623
3dma1p           -405.59653273994445  -405.5372818891916   0.000198728327193907
2gd              -410.5590785100913   -410.5129870564308   0.00015459149307554175
2gd1p            -410.9691660440829   -410.92038116196164  0.00016362529639864096
6w               -458.4346007748132   -458.37856144648515  0.00018795682820078478
1gd1pxfa         -470.08705057818264  -470.0422314404175   0.00015032412465252194
7w               -534.8409213150508   -534.7839942786326   0.00019093421572407174
2put             -537.9079264943589   -537.8499839744626   0.00019434016399891746
4dma             -540.2545097507334   -540.1804045438441   0.0002485500818018768
4dma1p           -540.664818072978    -540.5924915241754   0.00024258443334777897
