#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am       -56.46369067664521  -56.44184249550134  7.32791586244093e-05  
1am1p     -56.78524108342624  -56.76414111110816  7.076965392613149e-05 
1w        -76.3381106049662   -76.31669655161164  7.182308688436955e-05 
1ma       -95.66420588160385  -95.63691614849684  9.153021333889366e-05 
2am       -112.92092283436583 -112.88631633122682 0.00011607078027504852
2am1p     -113.27864162007411 -113.247097900219   0.00010579815480503784
1fd       -114.33696840541411 -114.3114959123012  8.543516053307079e-05 
1ml       -115.53301904051217 -115.50600564575437 9.06033699742178e-05  
1dma      -134.87020448586625 -134.83943235184282 0.00010321024324491759
1dma1p    -135.22228797523107 -135.1918478348576  0.0001020967310866739 
2w        -152.67115309419756 -152.63868699208598 0.00010889184005220647
3am       -169.3782806575446  -169.33735016307517 0.00013728155113012494
1fa       -189.50618284794947 -189.47800283872337 9.451621407368218e-05 
1pxml     -190.57454716729228 -190.54389644358798 0.00010280303103906564
1gd       -205.02078094874872 -204.98894873365208 0.00010676577258645716
4am       -225.83405773455812 -225.78589420356624 0.00016154127449898443
4am1p     -226.2332380879321  -226.1832006644556  0.00016782634068952107
3w        -229.00663736580304 -228.96929918289038 0.00012523287913015463
1pxfa     -264.54020480718657 -264.50924209830043 0.0001038494344663804 
2dma      -269.7312593597212  -269.68468878641306 0.00015619846824841853
2dma1p    -270.11582753630256 -270.07024549456156 0.0001528829171256313 
1gd1w     -281.3586239089675  -281.32025297848327 0.00012869673145809727
5am1p     -282.69928933895494 -282.6418515274878  0.00019264736363301213
4w        -305.3438365280115  -305.3007566198668  0.00014449071992201382
1fd1gd    -319.350064481037   -319.30728587048446 0.00014348016284578411
1gd1ml    -320.55340753914913 -320.51085573392083 0.00014271945406119815
5w        -381.67933461340107 -381.62998552748735 0.00016551764519082878
1fa1gd    -394.53715517982926 -394.4950292377572  0.00014129110203620792
1gd1pxml  -395.5977703343561  -395.5535650525298  0.00014826524174504606
3dma      -404.59604405763446 -404.5366458894915  0.00019922243214130623
3dma1p    -404.99709761719953 -404.93784676644657 0.000198728327193907  
2gd       -410.0437855599053  -409.99769410624486 0.00015459149307554175
2gd1p     -410.44342874824196 -410.3946438661207  0.00016362529639864096
6w        -458.01366984476414 -457.95763051643615 0.00018795682820078478
1gd1pxfa  -469.56548839290065 -469.52066925513554 0.00015032412465252194
7w        -534.3484010916358  -534.2914740552177  0.00019093421572407174
4dma      -539.4629188136103  -539.388813606721   0.0002485500818018768 
4dma1p    -539.8666277087281  -539.7943011599253  0.00024258443334777897
8w        -610.6858058136696  -610.6254393914843  0.0002024699721122455 
3gd       -615.0647098389536  -615.0065201396574  0.00019516920776866187
3gd1p     -615.4811374161964  -615.4188657590319  0.00020886016154399902
1msa      -663.5320228205023  -663.4960588753288  0.00012062366316818721
5dma1p    -674.7330504965996  -674.6494556621406  0.0002803784486302698 
9w        -687.0245768637162  -686.9590120417108  0.00021990549054257404
1b        -698.9555766263537  -698.9212181489992  0.00011523889771820646
1sa       -699.4511602839088  -699.4173514015065  0.00011339554721555806
1msa1w    -739.8717106363048  -739.8302813051272  0.00013895465764708997
1am1b     -755.417613021408   -755.3769685326449  0.00013632228329034417
1am1sa    -755.9246163135159  -755.883222641413   0.00013883505652451697
1am1p1sa  -756.2587780809889  -756.2157599162157  0.00014428363163901522
10w       -763.3605651305952  -763.2911177497708  0.00023292765663008927
1sa1w     -775.792395498175   -775.751779627617   0.00013622629736072568
2am1sa    -812.3942015805567  -812.3459775280453  0.00016174426466970088
2am1p1sa  -812.7543956398026  -812.705947370418   0.00016249629174808133
1msa2w    -816.2100282394327  -816.1628526821925  0.00015822759429896284
4gd       -820.0967225065981  -820.0274021296889  0.0002325016834111089 
4gd1p     -820.5127585317306  -820.4366740165068  0.0002551887144853792 
1b1dma    -833.8251273073225  -833.7790879836035  0.0001544166483955617 
1dma1p1sa -834.6871989102842  -834.6381535281178  0.0001644990178311831 
1sa2w     -852.131322624724   -852.0853136619204  0.00015431481738601728
3am1p1sa  -869.2317471333886  -869.1768246666534  0.00018421085606279446
1msa3w    -892.5490570941698  -892.4969311311555  0.00017483133662308178
1b1gd     -903.9911734015068  -903.9423536641702  0.00016374220136429536
1gd1sa    -904.50265358576    -904.4531386659793  0.000166073854706517  
1gd1p1sa  -904.8587722730472  -904.8087782453078  0.0001676807906734322 
4am1p1sa  -925.7034540489103  -925.6417811227259  0.00020685200799704743
1sa3w     -928.4708972473351  -928.4191985653353  0.00017339822907890164
1b2dma    -968.6939084377583  -968.6339456464972  0.00020111618735896148
2dma1sa   -969.2141839188151  -969.1544566872002  0.00020032611643446005
2dma1p1sa -969.6035310685114  -969.5423053100739  0.0002053522000252236 
5am1p1sa  -982.1759911428666  -982.1085577125856  0.00022617283340978657
5gd1p     -1025.5350293998465 -1025.4496899498124 0.000286229917941337  
3dma1sa   -1104.0895286136845 -1104.0182572886577 0.00023904519546144704
3dma1p1sa -1104.4954957848665 -1104.4243786132668 0.00023852816233334233
1b2gd     -1109.0229190158857 -1108.9650155082786 0.00019420931613790588
2gd1sa    -1109.5358479288025 -1109.4762874860808 0.00019976670374521486
2gd1p1sa  -1109.9398775849925 -1109.8744365640412 0.000219490259773752  
4dma1sa   -1238.959622506876  -1238.877815430212  0.0002743822796052684 
4dma1p1sa -1239.3754852990276 -1239.2925371782178 0.000278209360422807  
3gd1sa    -1314.5708185332664 -1314.499129838378  0.00024044506083766481
3gd1p1sa  -1314.993664747181  -1314.9169237355454 0.0002573906142403088 
2msa      -1327.0744571740024 -1327.02364068006   0.00017043935583494713
1msa1sa   -1362.9965229454765 -1362.9478609831117 0.0001632130215164487 
5dma1p1sa -1374.2542146264047 -1374.1597455542903 0.00031685082043940866
1b1sa     -1398.4602149181403 -1398.4141540125559 0.00015448903432645718
2sa       -1398.9123365139687 -1398.8630200773948 0.0001654081387690599 
2msa1w    -1403.4124026102934 -1403.3561738863125 0.00018859206433289612
1msa1sa1w -1439.3379713931579 -1439.2830156027806 0.00018432262410563246
1am1b1sa  -1454.920702966501  -1454.8693418183282 0.00017226613507587726
1am2sa    -1455.398549671581  -1455.3450556556318 0.00017941980865157582
2sa1w     -1475.2547030141575 -1475.2005239931989 0.00018171732671044006
2msa2w    -1479.7532040517635 -1479.694696335218  0.00019623584284948292
